Name RA Dec ForcePhot
ZTF19abqneae 295.60301795 0.56979025 Done
ZTF19abraqpf 303.5752242 51.72331285 Done
ZTF19abvixoy 279.552977 27.42091785 Done
ZTF19abxfojo 308.3113873 82.1901226 Done
ZTF19abxrdlu 308.38084295 22.3020972 Done
ZTF19abxvkky 104.3363764 16.3430509 Done
ZTF19abydagb 36.2985164 80.42257 Done
ZTF19abykdee 289.01074285000004 -11.2404941 Done
ZTF19abykjhn 293.26096075 43.2214271 Done
ZTF19abylcik 325.11693685 37.4083441 Done
ZTF19abzzgus 87.37574905 -3.5206906 Done
ZTF19abzzuin 131.0821865 6.6639575 Done
ZTF19acaiora 82.728809 0.6701399 Done
ZTF19acajaak 99.22462615 -14.1304626 Done
ZTF19acaxfkb 283.6256662 -16.765698 Done
ZTF19acbwrsu 304.00495155 57.0127778 Done
ZTF19acendsf 300.4238294 47.3503743 Done
ZTF19acerhgs 308.0866549 66.162915 Done
ZTF19acevlfc 65.5032269 36.3334793 Done
ZTF19acfvzmr 311.57574420000003 63.787673049999995 Done
ZTF19acigwcg 311.29676365 72.6619855 Done
ZTF19acjiett 133.7528404 -16.5475412 Done
ZTF19acjtmjp 292.27051855 34.22993835 Done
ZTF19aclkofz 348.7030271 73.0521512 Done
ZTF19acrcznb 7.4463261 53.9657202 Done
ZTF19acszojw 75.8133199 12.73682095 Done
ZTF19acxgueu 340.00300130000005 9.3090128 Done
ZTF20aadzfzy 254.6316269 5.591813 Done
ZTF20aamdloh 256.772513 25.6602237 Done
ZTF20aaspwvx 309.2203266 28.3706006 Done
ZTF20aatazkt 272.1382841 12.6860337 Done
ZTF20aatsjyu 221.32551055 47.4477975 Done
ZTF20aauwysn 282.86371065000003 28.97962145 Done
ZTF20aawigqc 327.2874577 63.7171654 Done
ZTF20aaxxhhi 286.0313809 -13.7316485 Done
ZTF20abazeye 277.6333917 42.6877079 Done
ZTF20abeffoq 277.4316043 8.6808137 Done
ZTF20abehuki 308.9162513 18.473258 Done
ZTF20abezylf 258.68748415 -2.2968745999999998 Done
ZTF20abjtwft 7.8979041 -6.1184356 Done
ZTF20abjyzhj 247.8402883 -18.090131149999998 Done
ZTF20abpwtmi 234.5850909 79.5405754 Done
ZTF20abrgylo 313.9120369 26.3334553 Done
ZTF20abychpb 13.2712543 51.62375 Done
ZTF20actlumf 304.989655 19.9803101 Done
ZTF20acufmrl 42.7925338 48.6579952 Done
ZTF20acutkgr 332.4001077 25.9122995 Done
ZTF21aagogqj 125.77613205 -16.647754499999998 Done
ZTF21aagqijr 144.9773246 -25.9731109 Done
ZTF21aajvkwg 185.5056668 -27.2574824 Done
