#instrument     mjdstart    exp    flt flux  unc    sig
GTC/ULTRACAM    59933.11439  19.99 g    1.03  1.04   0.99 
GTC/ULTRACAM    59933.11439  19.99 r   -1.28  1.34  -0.96 
GTC/ULTRACAM    59933.11462  19.99 u   -1.08  2.39  -0.45 
GTC/ULTRACAM    59933.11462  19.99 g   -0.21  0.98  -0.21 
GTC/ULTRACAM    59933.11462  19.99 r   -1.12  1.33  -0.84 
GTC/ULTRACAM    59933.11485  19.99 u   -0.42  2.66  -0.16 
GTC/ULTRACAM    59933.11485  19.99 g   -0.72  1.05  -0.68 
GTC/ULTRACAM    59933.11485  19.99 r   -1.88  1.36  -1.38 
GTC/ULTRACAM    59933.11508  19.99 u    4.25  2.72   1.56 
GTC/ULTRACAM    59933.11508  19.99 g   -1.05  0.92  -1.14 
GTC/ULTRACAM    59933.11508  19.99 r   -1.74  1.30  -1.34 
GTC/ULTRACAM    59933.11531  19.99 u    3.56  2.61   1.36 
GTC/ULTRACAM    59933.11531  19.99 g    0.13  1.11   0.11 
GTC/ULTRACAM    59933.11531  19.99 r   -0.16  1.26  -0.12 
GTC/ULTRACAM    59933.11554  19.99 u    3.99  3.03   1.32 
GTC/ULTRACAM    59933.11554  19.99 g    1.77  1.09   1.62 
GTC/ULTRACAM    59933.11554  19.99 r    0.60  1.54   0.39 
GTC/ULTRACAM    59933.11578  19.99 u    3.34  2.84   1.18 
GTC/ULTRACAM    59933.11578  19.99 g    1.77  1.07   1.65 
GTC/ULTRACAM    59933.11578  19.99 r    1.88  1.46   1.29 
GTC/ULTRACAM    59933.11601  19.99 u    4.13  2.82   1.46 
GTC/ULTRACAM    59933.11601  19.99 g    1.84  1.02   1.80 
GTC/ULTRACAM    59933.11601  19.99 r    1.21  1.50   0.81 
GTC/ULTRACAM    59933.11624  19.99 u    6.03  2.80   2.15 
GTC/ULTRACAM    59933.11624  19.99 g    0.75  1.20   0.62 
GTC/ULTRACAM    59933.11624  19.99 r    0.99  1.46   0.68 
GTC/ULTRACAM    59933.11647  19.99 u   -1.72  2.87  -0.60 
GTC/ULTRACAM    59933.11647  19.99 g   -1.64  1.13  -1.45 
GTC/ULTRACAM    59933.11647  19.99 r    1.69  1.43   1.18 
GTC/ULTRACAM    59933.11670  19.99 u    2.76  2.71   1.02 
GTC/ULTRACAM    59933.11670  19.99 g    0.68  1.07   0.63 
GTC/ULTRACAM    59933.11670  19.99 r    3.39  1.45   2.34 
GTC/ULTRACAM    59933.11693  19.99 u    3.89  2.60   1.50 
GTC/ULTRACAM    59933.11693  19.99 g   -0.61  1.03  -0.60 
GTC/ULTRACAM    59933.11693  19.99 r    0.80  1.54   0.52 
GTC/ULTRACAM    59933.11716  19.99 u    3.46  3.09   1.12 
GTC/ULTRACAM    59933.11716  19.99 g    0.20  1.16   0.17 
GTC/ULTRACAM    59933.11716  19.99 r    0.63  1.51   0.41 
GTC/ULTRACAM    59933.11740  19.99 u    7.14  2.67   2.67 
GTC/ULTRACAM    59933.11740  19.99 g    1.11  1.06   1.05 
GTC/ULTRACAM    59933.11740  19.99 r   -0.23  1.52  -0.15 
GTC/ULTRACAM    59933.11763  19.99 u   -0.62  2.51  -0.25 
GTC/ULTRACAM    59933.11763  19.99 g   -0.29  0.98  -0.29 
GTC/ULTRACAM    59933.11763  19.99 r    0.90  1.43   0.63 
GTC/ULTRACAM    59933.11786  19.99 u    1.44  2.25   0.64 
GTC/ULTRACAM    59933.11786  19.99 g    0.07  1.00   0.07 
GTC/ULTRACAM    59933.11786  19.99 r    0.34  1.35   0.25 
GTC/ULTRACAM    59933.11809  19.99 u    0.71  2.48   0.28 
GTC/ULTRACAM    59933.11809  19.99 g   -0.92  1.02  -0.90 
GTC/ULTRACAM    59933.11809  19.99 r    0.15  1.29   0.11 
GTC/ULTRACAM    59933.11832  19.99 u    1.86  2.68   0.69 
GTC/ULTRACAM    59933.11832  19.99 g   -0.57  0.96  -0.59 
GTC/ULTRACAM    59933.11832  19.99 r    0.42  1.42   0.30 
GTC/ULTRACAM    59933.11855  19.99 u   -1.86  2.58  -0.72 
GTC/ULTRACAM    59933.11855  19.99 g   -0.07  1.05  -0.07 
GTC/ULTRACAM    59933.11855  19.99 r    1.69  1.34   1.26 
GTC/ULTRACAM    59933.11879  19.99 u    0.97  2.38   0.41 
GTC/ULTRACAM    59933.11879  19.99 g    0.95  0.97   0.97 
GTC/ULTRACAM    59933.11879  19.99 r   -2.62  1.39  -1.88 
GTC/ULTRACAM    59933.11902  19.99 u    2.82  2.45   1.15 
GTC/ULTRACAM    59933.11902  19.99 g    0.76  1.04   0.73 
GTC/ULTRACAM    59933.11902  19.99 r    3.89  1.32   2.95 
GTC/ULTRACAM    59933.11925  19.99 u    3.88  2.69   1.44 
GTC/ULTRACAM    59933.11925  19.99 g   -0.05  1.04  -0.05 
GTC/ULTRACAM    59933.11925  19.99 r   -1.55  1.39  -1.12 
GTC/ULTRACAM    59933.11948  19.99 u    0.34  2.75   0.12 
GTC/ULTRACAM    59933.11948  19.99 g    1.35  1.06   1.27 
GTC/ULTRACAM    59933.11948  19.99 r   -0.79  1.36  -0.58 
GTC/ULTRACAM    59933.11971  19.99 u   -0.96  2.84  -0.34 
GTC/ULTRACAM    59933.11971  19.99 g    0.22  1.04   0.21 
GTC/ULTRACAM    59933.11971  19.99 r    0.62  1.44   0.43 
GTC/ULTRACAM    59933.11994  19.99 u   -0.97  2.85  -0.34 
GTC/ULTRACAM    59933.11994  19.99 g    0.88  1.03   0.85 
GTC/ULTRACAM    59933.11994  19.99 r    3.28  1.44   2.28 
GTC/ULTRACAM    59933.12018  19.99 u    5.26  2.84   1.85 
GTC/ULTRACAM    59933.12018  19.99 g    0.41  1.15   0.36 
GTC/ULTRACAM    59933.12018  19.99 r   -0.47  1.47  -0.32 
GTC/ULTRACAM    59933.12041  19.99 u   -0.92  2.82  -0.32 
GTC/ULTRACAM    59933.12041  19.99 g    1.83  1.09   1.68 
GTC/ULTRACAM    59933.12041  19.99 r   -2.33  1.47  -1.59 
GTC/ULTRACAM    59933.12064  19.99 u    2.16  2.64   0.82 
GTC/ULTRACAM    59933.12064  19.99 g    0.62  1.03   0.60 
GTC/ULTRACAM    59933.12064  19.99 r    0.61  1.40   0.43 
GTC/ULTRACAM    59933.12087  19.99 u    1.75  2.59   0.68 
GTC/ULTRACAM    59933.12087  19.99 g   -0.51  0.98  -0.53 
GTC/ULTRACAM    59933.12087  19.99 r    0.61  1.38   0.44 
GTC/ULTRACAM    59933.12110  19.99 u    0.43  2.62   0.17 
GTC/ULTRACAM    59933.12110  19.99 g    1.17  1.01   1.16 
GTC/ULTRACAM    59933.12110  19.99 r    2.10  1.42   1.48 
GTC/ULTRACAM    59933.12133  19.99 u   -0.78  2.63  -0.30 
GTC/ULTRACAM    59933.12133  19.99 g    0.28  1.05   0.27 
GTC/ULTRACAM    59933.12133  19.99 r    2.23  1.24   1.80 
GTC/ULTRACAM    59933.12156  19.99 u   -1.79  2.36  -0.76 
GTC/ULTRACAM    59933.12156  19.99 g    0.58  0.91   0.64 
GTC/ULTRACAM    59933.12156  19.99 r    1.25  1.44   0.87 
GTC/ULTRACAM    59933.12180  19.99 u    2.64  2.57   1.03 
GTC/ULTRACAM    59933.12180  19.99 g    1.35  0.97   1.40 
GTC/ULTRACAM    59933.12180  19.99 r   -1.11  1.45  -0.77 
GTC/ULTRACAM    59933.12203  19.99 u    5.12  2.57   1.99 
GTC/ULTRACAM    59933.12203  19.99 g    1.31  0.97   1.35 
GTC/ULTRACAM    59933.12203  19.99 r   -0.18  1.38  -0.13 
GTC/ULTRACAM    59933.12226  19.99 u   -1.90  2.23  -0.85 
GTC/ULTRACAM    59933.12226  19.99 g   -1.29  0.99  -1.30 
GTC/ULTRACAM    59933.12226  19.99 r    3.35  1.41   2.38 
GTC/ULTRACAM    59933.12249  19.99 u   -3.65  2.73  -1.34 
GTC/ULTRACAM    59933.12249  19.99 g    0.30  0.98   0.30 
GTC/ULTRACAM    59933.12249  19.99 r    3.47  1.25   2.78 
GTC/ULTRACAM    59933.12272  19.99 u    1.08  2.59   0.42 
GTC/ULTRACAM    59933.12272  19.99 g   -0.67  0.94  -0.71 
GTC/ULTRACAM    59933.12272  19.99 r   -1.41  1.28  -1.10 
GTC/ULTRACAM    59933.12295  19.99 u   -0.81  2.77  -0.29 
GTC/ULTRACAM    59933.12295  19.99 g    0.68  1.01   0.67 
GTC/ULTRACAM    59933.12295  19.99 r    0.76  1.31   0.58 
GTC/ULTRACAM    59933.12319  19.99 u    0.47  2.43   0.20 
GTC/ULTRACAM    59933.12319  19.99 g   -0.43  0.94  -0.46 
GTC/ULTRACAM    59933.12319  19.99 r   -0.81  1.19  -0.68 
GTC/ULTRACAM    59933.12342  19.99 u   -0.79  2.51  -0.32 
GTC/ULTRACAM    59933.12342  19.99 g   -0.18  0.89  -0.21 
GTC/ULTRACAM    59933.12342  19.99 r    1.08  1.32   0.82 
GTC/ULTRACAM    59933.12365  19.99 u    0.07  2.45   0.03 
GTC/ULTRACAM    59933.12365  19.99 g   -1.17  1.00  -1.17 
GTC/ULTRACAM    59933.12365  19.99 r    1.02  1.39   0.73 
GTC/ULTRACAM    59933.12388  19.99 u    4.10  2.58   1.59 
GTC/ULTRACAM    59933.12388  19.99 g    0.81  0.95   0.85 
GTC/ULTRACAM    59933.12388  19.99 r    0.48  1.37   0.35 
GTC/ULTRACAM    59933.12411  19.99 u    0.03  2.54   0.01 
GTC/ULTRACAM    59933.12411  19.99 g    0.14  0.98   0.14 
GTC/ULTRACAM    59933.12411  19.99 r   -1.64  1.27  -1.29 
GTC/ULTRACAM    59933.12434  19.99 u    4.39  2.33   1.88 
GTC/ULTRACAM    59933.12434  19.99 g    0.81  0.98   0.84 
GTC/ULTRACAM    59933.12434  19.99 r    0.51  1.26   0.40 
GTC/ULTRACAM    59933.12458  19.99 u    2.86  2.48   1.15 
GTC/ULTRACAM    59933.12458  19.99 g    1.09  1.04   1.05 
GTC/ULTRACAM    59933.12458  19.99 r    2.45  1.40   1.75 
GTC/ULTRACAM    59933.12481  19.99 u    2.47  2.64   0.94 
GTC/ULTRACAM    59933.12481  19.99 g   -1.81  0.98  -1.85 
GTC/ULTRACAM    59933.12481  19.99 r    0.38  1.40   0.28 
GTC/ULTRACAM    59933.12504  19.99 u    1.74  2.86   0.61 
GTC/ULTRACAM    59933.12504  19.99 g    1.13  0.97   1.17 
GTC/ULTRACAM    59933.12504  19.99 r   -0.19  1.32  -0.14 
GTC/ULTRACAM    59933.12527  19.99 u    0.29  2.31   0.13 
GTC/ULTRACAM    59933.12527  19.99 g   -0.84  0.90  -0.93 
GTC/ULTRACAM    59933.12527  19.99 r    2.57  1.28   2.01 
GTC/ULTRACAM    59933.12550  19.99 u    0.84  2.42   0.35 
GTC/ULTRACAM    59933.12550  19.99 g   -0.67  0.97  -0.69 
GTC/ULTRACAM    59933.12550  19.99 r    0.04  1.22   0.03 
GTC/ULTRACAM    59933.12573  19.99 u    2.25  2.80   0.80 
GTC/ULTRACAM    59933.12573  19.99 g    2.06  0.99   2.08 
GTC/ULTRACAM    59933.12573  19.99 r    0.83  1.29   0.65 
GTC/ULTRACAM    59933.12596  19.99 u    2.60  2.46   1.06 
GTC/ULTRACAM    59933.12596  19.99 g    0.15  0.88   0.17 
GTC/ULTRACAM    59933.12596  19.99 r   -1.70  1.33  -1.28 
GTC/ULTRACAM    59933.12620  19.99 u    2.48  2.29   1.08 
GTC/ULTRACAM    59933.12620  19.99 g    0.81  0.90   0.89 
GTC/ULTRACAM    59933.12620  19.99 r   -1.21  1.29  -0.94 
GTC/ULTRACAM    59933.12643  19.99 u    3.80  2.46   1.54 
GTC/ULTRACAM    59933.12643  19.99 g    1.49  0.99   1.51 
GTC/ULTRACAM    59933.12643  19.99 r   -0.82  1.21  -0.67 
GTC/ULTRACAM    59933.12666  19.99 u   -0.53  2.19  -0.24 
GTC/ULTRACAM    59933.12666  19.99 g   -0.90  0.82  -1.10 
GTC/ULTRACAM    59933.12666  19.99 r    0.16  1.27   0.13 
GTC/ULTRACAM    59933.12689  19.99 u   -5.05  2.64  -1.91 
GTC/ULTRACAM    59933.12689  19.99 g    0.92  0.93   0.99 
GTC/ULTRACAM    59933.12689  19.99 r   -1.28  1.27  -1.01 
GTC/ULTRACAM    59933.12712  19.99 u    2.53  2.41   1.05 
GTC/ULTRACAM    59933.12712  19.99 g    0.18  0.94   0.19 
GTC/ULTRACAM    59933.12712  19.99 r    0.26  1.32   0.20 
GTC/ULTRACAM    59933.12735  19.99 u    1.04  2.39   0.44 
GTC/ULTRACAM    59933.12735  19.99 g    0.57  0.92   0.61 
GTC/ULTRACAM    59933.12735  19.99 r    2.74  1.25   2.19 
GTC/ULTRACAM    59933.12759  19.99 u    4.86  2.44   1.99 
GTC/ULTRACAM    59933.12759  19.99 g    1.20  0.98   1.23 
GTC/ULTRACAM    59933.12759  19.99 r   -1.27  1.41  -0.90 
GTC/ULTRACAM    59933.12782  19.99 u    1.08  2.32   0.47 
GTC/ULTRACAM    59933.12782  19.99 g    0.60  0.96   0.63 
GTC/ULTRACAM    59933.12782  19.99 r    0.68  1.19   0.57 
GTC/ULTRACAM    59933.12805  19.99 u   -0.24  2.55  -0.09 
GTC/ULTRACAM    59933.12805  19.99 g   -0.30  1.04  -0.29 
GTC/ULTRACAM    59933.12805  19.99 r    0.90  1.32   0.68 
GTC/ULTRACAM    59933.12828  19.99 u    3.01  2.76   1.09 
GTC/ULTRACAM    59933.12828  19.99 g    0.35  0.99   0.35 
GTC/ULTRACAM    59933.12828  19.99 r   -1.84  1.41  -1.30 
GTC/ULTRACAM    59933.12851  19.99 u    6.29  2.70   2.33 
GTC/ULTRACAM    59933.12851  19.99 g    0.66  0.96   0.68 
GTC/ULTRACAM    59933.12851  19.99 r    1.52  1.31   1.16 
GTC/ULTRACAM    59933.12874  19.99 u   -2.99  2.35  -1.27 
GTC/ULTRACAM    59933.12874  19.99 g    0.28  0.94   0.30 
GTC/ULTRACAM    59933.12874  19.99 r    2.73  1.46   1.87 
GTC/ULTRACAM    59933.12898  19.99 u    1.29  2.48   0.52 
GTC/ULTRACAM    59933.12898  19.99 g   -0.55  0.97  -0.57 
GTC/ULTRACAM    59933.12898  19.99 r   -1.32  1.34  -0.99 
GTC/ULTRACAM    59933.12921  19.99 u    2.02  2.41   0.84 
GTC/ULTRACAM    59933.12921  19.99 g    0.90  0.97   0.93 
GTC/ULTRACAM    59933.12921  19.99 r    2.09  1.28   1.63 
GTC/ULTRACAM    59933.12944  19.99 u   -0.64  2.49  -0.26 
GTC/ULTRACAM    59933.12944  19.99 g   -0.81  0.93  -0.87 
GTC/ULTRACAM    59933.12944  19.99 r    0.87  1.35   0.65 
GTC/ULTRACAM    59933.12967  19.99 u   -0.34  2.58  -0.13 
GTC/ULTRACAM    59933.12967  19.99 g    1.34  0.86   1.56 
GTC/ULTRACAM    59933.12967  19.99 r   -0.44  1.21  -0.36 
GTC/ULTRACAM    59933.12990  19.99 u    1.71  2.20   0.78 
GTC/ULTRACAM    59933.12990  19.99 g   -1.22  0.95  -1.28 
GTC/ULTRACAM    59933.12990  19.99 r   -0.84  1.24  -0.68 
GTC/ULTRACAM    59933.13013  19.99 u    2.24  2.29   0.98 
GTC/ULTRACAM    59933.13013  19.99 g    0.45  0.84   0.53 
GTC/ULTRACAM    59933.13013  19.99 r   -1.67  1.27  -1.31 
GTC/ULTRACAM    59933.13037  19.99 u    2.97  2.63   1.13 
GTC/ULTRACAM    59933.13037  19.99 g    0.31  1.00   0.31 
GTC/ULTRACAM    59933.13037  19.99 r   -1.02  1.30  -0.78 
GTC/ULTRACAM    59933.13060  19.99 u   -0.74  2.40  -0.31 
GTC/ULTRACAM    59933.13060  19.99 g    0.44  0.90   0.48 
GTC/ULTRACAM    59933.13060  19.99 r    0.53  1.28   0.42 
GTC/ULTRACAM    59933.13083  19.99 u    5.63  2.29   2.46 
GTC/ULTRACAM    59933.13083  19.99 g    0.19  0.97   0.19 
GTC/ULTRACAM    59933.13083  19.99 r   -1.11  1.31  -0.85 
GTC/ULTRACAM    59933.13106  19.99 u    0.69  2.47   0.28 
GTC/ULTRACAM    59933.13106  19.99 g   -0.39  1.03  -0.38 
GTC/ULTRACAM    59933.13106  19.99 r   -1.11  1.26  -0.88 
GTC/ULTRACAM    59933.13129  19.99 u    3.19  2.58   1.24 
GTC/ULTRACAM    59933.13129  19.99 g   -1.91  0.95  -2.01 
GTC/ULTRACAM    59933.13129  19.99 r   -1.95  1.20  -1.62 
GTC/ULTRACAM    59933.13152  19.99 u   -1.75  2.35  -0.74 
GTC/ULTRACAM    59933.13152  19.99 g    0.32  0.94   0.34 
GTC/ULTRACAM    59933.13152  19.99 r    0.73  1.22   0.60 
GTC/ULTRACAM    59933.13175  19.99 u    1.70  2.33   0.73 
GTC/ULTRACAM    59933.13175  19.99 g    0.59  0.95   0.62 
GTC/ULTRACAM    59933.13175  19.99 r   -2.36  1.26  -1.87 
GTC/ULTRACAM    59933.13199  19.99 u   -3.54  2.60  -1.36 
GTC/ULTRACAM    59933.13199  19.99 g    0.29  1.03   0.29 
GTC/ULTRACAM    59933.13199  19.99 r    2.18  1.30   1.68 
GTC/ULTRACAM    59933.13222  19.99 u    3.55  2.49   1.43 
GTC/ULTRACAM    59933.13222  19.99 g    0.14  1.01   0.14 
GTC/ULTRACAM    59933.13222  19.99 r    0.72  1.33   0.54 
GTC/ULTRACAM    59933.13245  19.99 u   -2.38  2.47  -0.96 
GTC/ULTRACAM    59933.13245  19.99 g    1.54  0.96   1.61 
GTC/ULTRACAM    59933.13245  19.99 r    2.68  1.35   1.99 
GTC/ULTRACAM    59933.13268  19.99 u   -0.35  2.43  -0.15 
GTC/ULTRACAM    59933.13268  19.99 g    0.62  0.97   0.64 
GTC/ULTRACAM    59933.13268  19.99 r    1.44  1.28   1.13 
GTC/ULTRACAM    59933.13291  19.99 u    1.56  2.35   0.66 
GTC/ULTRACAM    59933.13291  19.99 g    0.30  0.94   0.32 
GTC/ULTRACAM    59933.13291  19.99 r   -0.54  1.23  -0.44 
GTC/ULTRACAM    59933.13314  19.99 u   -2.13  2.52  -0.85 
GTC/ULTRACAM    59933.13314  19.99 g   -0.54  0.94  -0.58 
GTC/ULTRACAM    59933.13314  19.99 r    0.03  1.31   0.02 
GTC/ULTRACAM    59933.13338  19.99 u    2.73  2.86   0.95 
GTC/ULTRACAM    59933.13338  19.99 g    2.78  0.93   3.00 
GTC/ULTRACAM    59933.13338  19.99 r   -1.23  1.42  -0.87 
GTC/ULTRACAM    59933.13361  19.99 u    3.31  2.47   1.34 
GTC/ULTRACAM    59933.13361  19.99 g    1.69  0.99   1.70 
GTC/ULTRACAM    59933.13361  19.99 r    1.36  1.35   1.01 
GTC/ULTRACAM    59933.13384  19.99 u    2.59  2.24   1.16 
GTC/ULTRACAM    59933.13384  19.99 g    0.02  0.99   0.02 
GTC/ULTRACAM    59933.13384  19.99 r   -0.91  1.32  -0.69 
GTC/ULTRACAM    59933.13407  19.99 u    3.96  2.46   1.61 
GTC/ULTRACAM    59933.13407  19.99 g    0.15  0.94   0.16 
GTC/ULTRACAM    59933.13407  19.99 r    3.42  1.36   2.51 
GTC/ULTRACAM    59933.13430  19.99 u    4.80  2.40   2.00 
GTC/ULTRACAM    59933.13430  19.99 g   -0.47  0.85  -0.56 
GTC/ULTRACAM    59933.13430  19.99 r    1.50  1.19   1.26 
GTC/ULTRACAM    59933.13453  19.99 u   -0.06  2.59  -0.02 
GTC/ULTRACAM    59933.13453  19.99 g   -0.63  0.94  -0.67 
GTC/ULTRACAM    59933.13453  19.99 r   -0.18  1.20  -0.15 
GTC/ULTRACAM    59933.13477  19.99 u    4.39  2.64   1.66 
GTC/ULTRACAM    59933.13477  19.99 g    1.64  1.01   1.62 
GTC/ULTRACAM    59933.13477  19.99 r    2.22  1.35   1.64 
GTC/ULTRACAM    59933.13500  19.99 u    3.87  2.64   1.47 
GTC/ULTRACAM    59933.13500  19.99 g    0.79  0.96   0.82 
GTC/ULTRACAM    59933.13500  19.99 r    1.87  1.23   1.52 
GTC/ULTRACAM    59933.13523  19.99 u   -2.25  2.59  -0.87 
GTC/ULTRACAM    59933.13523  19.99 g    1.20  1.00   1.20 
GTC/ULTRACAM    59933.13523  19.99 r    0.37  1.18   0.32 
GTC/ULTRACAM    59933.13546  19.99 u    0.13  2.59   0.05 
GTC/ULTRACAM    59933.13546  19.99 g   -0.04  0.90  -0.04 
GTC/ULTRACAM    59933.13546  19.99 r   -0.17  1.24  -0.13 
GTC/ULTRACAM    59933.13569  19.99 u    3.00  2.37   1.27 
GTC/ULTRACAM    59933.13569  19.99 g    1.79  0.98   1.82 
GTC/ULTRACAM    59933.13569  19.99 r    2.37  1.30   1.82 
GTC/ULTRACAM    59933.13592  19.99 u    0.79  2.47   0.32 
GTC/ULTRACAM    59933.13592  19.99 g    1.40  1.04   1.35 
GTC/ULTRACAM    59933.13592  19.99 r   -0.08  1.28  -0.06 
GTC/ULTRACAM    59933.13615  19.99 u    2.17  2.48   0.88 
GTC/ULTRACAM    59933.13615  19.99 g    0.00  0.86   0.00 
GTC/ULTRACAM    59933.13615  19.99 r    0.32  1.29   0.25 
GTC/ULTRACAM    59933.13639  19.99 u   -2.08  2.21  -0.94 
GTC/ULTRACAM    59933.13639  19.99 g    0.86  0.95   0.90 
GTC/ULTRACAM    59933.13639  19.99 r    3.75  1.33   2.82 
GTC/ULTRACAM    59933.13662  19.99 u   -1.24  2.64  -0.47 
GTC/ULTRACAM    59933.13662  19.99 g   -0.65  1.00  -0.65 
GTC/ULTRACAM    59933.13662  19.99 r    0.52  1.29   0.40 
GTC/ULTRACAM    59933.13685  19.99 u    2.65  2.20   1.20 
GTC/ULTRACAM    59933.13685  19.99 g    0.53  1.01   0.53 
GTC/ULTRACAM    59933.13685  19.99 r    0.23  1.24   0.19 
GTC/ULTRACAM    59933.13708  19.99 u    2.33  2.39   0.97 
GTC/ULTRACAM    59933.13708  19.99 g    0.45  0.98   0.46 
GTC/ULTRACAM    59933.13708  19.99 r   -1.15  1.32  -0.87 
GTC/ULTRACAM    59933.13731  19.99 u   -0.50  2.58  -0.19 
GTC/ULTRACAM    59933.13731  19.99 g   -0.31  0.89  -0.35 
GTC/ULTRACAM    59933.13731  19.99 r   -0.77  1.33  -0.58 
GTC/ULTRACAM    59933.13754  19.99 u    1.88  2.56   0.73 
GTC/ULTRACAM    59933.13754  19.99 g    0.60  0.93   0.65 
GTC/ULTRACAM    59933.13754  19.99 r    1.19  1.21   0.98 
GTC/ULTRACAM    59933.13778  19.99 u    2.21  2.63   0.84 
GTC/ULTRACAM    59933.13778  19.99 g    0.64  0.97   0.66 
GTC/ULTRACAM    59933.13778  19.99 r    2.19  1.26   1.74 
GTC/ULTRACAM    59933.13801  19.99 u    3.77  2.57   1.47 
GTC/ULTRACAM    59933.13801  19.99 g   -0.00  0.94  -0.00 
GTC/ULTRACAM    59933.13801  19.99 r    0.15  1.27   0.12 
GTC/ULTRACAM    59933.13824  19.99 u   -3.07  2.67  -1.15 
GTC/ULTRACAM    59933.13824  19.99 g    0.99  0.92   1.08 
GTC/ULTRACAM    59933.13824  19.99 r    1.48  1.33   1.11 
GTC/ULTRACAM    59933.13847  19.99 u   -2.09  2.61  -0.80 
GTC/ULTRACAM    59933.13847  19.99 g   -1.34  0.92  -1.46 
GTC/ULTRACAM    59933.13847  19.99 r    0.75  1.38   0.54 
GTC/ULTRACAM    59933.13870  19.99 u    1.70  2.84   0.60 
GTC/ULTRACAM    59933.13870  19.99 g    0.92  0.99   0.92 
GTC/ULTRACAM    59933.13870  19.99 r    2.13  1.40   1.52 
GTC/ULTRACAM    59933.13893  19.99 u    3.20  2.51   1.27 
GTC/ULTRACAM    59933.13893  19.99 g    1.75  0.97   1.80 
GTC/ULTRACAM    59933.13893  19.99 r    1.05  1.42   0.74 
GTC/ULTRACAM    59933.13917  19.99 u   -2.31  2.53  -0.91 
GTC/ULTRACAM    59933.13917  19.99 g   -1.51  0.92  -1.64 
GTC/ULTRACAM    59933.13917  19.99 r   -0.11  1.31  -0.09 
GTC/ULTRACAM    59933.13940  19.99 u    0.25  2.49   0.10 
GTC/ULTRACAM    59933.13940  19.99 g    1.59  0.86   1.84 
GTC/ULTRACAM    59933.13940  19.99 r    0.63  1.25   0.51 
GTC/ULTRACAM    59933.13963  19.99 u    2.36  2.25   1.05 
GTC/ULTRACAM    59933.13963  19.99 g   -1.03  0.90  -1.14 
GTC/ULTRACAM    59933.13963  19.99 r    0.36  1.27   0.28 
GTC/ULTRACAM    59933.13986  19.99 u   -0.30  2.24  -0.13 
GTC/ULTRACAM    59933.13986  19.99 g   -0.46  0.88  -0.52 
GTC/ULTRACAM    59933.13986  19.99 r   -1.24  1.33  -0.93 
GTC/ULTRACAM    59933.14009  19.99 u    1.85  2.39   0.77 
GTC/ULTRACAM    59933.14009  19.99 g    0.10  0.94   0.11 
GTC/ULTRACAM    59933.14009  19.99 r    0.17  1.28   0.13 
GTC/ULTRACAM    59933.14032  19.99 u    3.24  2.34   1.38 
GTC/ULTRACAM    59933.14032  19.99 g   -1.40  0.87  -1.61 
GTC/ULTRACAM    59933.14032  19.99 r   -0.05  1.34  -0.04 
GTC/ULTRACAM    59933.14056  19.99 u    0.83  2.41   0.35 
GTC/ULTRACAM    59933.14056  19.99 g    2.20  0.98   2.24 
GTC/ULTRACAM    59933.14056  19.99 r   -0.49  1.21  -0.41 
GTC/ULTRACAM    59933.14079  19.99 u    2.83  2.46   1.15 
GTC/ULTRACAM    59933.14079  19.99 g   -1.05  0.95  -1.11 
GTC/ULTRACAM    59933.14079  19.99 r   -0.88  1.41  -0.62 
GTC/ULTRACAM    59933.14102  19.99 u    3.53  2.52   1.40 
GTC/ULTRACAM    59933.14102  19.99 g   -0.52  0.98  -0.53 
GTC/ULTRACAM    59933.14102  19.99 r   -0.65  1.32  -0.49 
GTC/ULTRACAM    59933.14125  19.99 u    5.34  2.63   2.03 
GTC/ULTRACAM    59933.14125  19.99 g   -0.89  0.94  -0.95 
GTC/ULTRACAM    59933.14125  19.99 r    1.74  1.31   1.33 
GTC/ULTRACAM    59933.14148  19.99 u    2.71  2.65   1.02 
GTC/ULTRACAM    59933.14148  19.99 g    0.34  0.99   0.35 
GTC/ULTRACAM    59933.14148  19.99 r    1.87  1.49   1.26 
GTC/ULTRACAM    59933.14171  19.99 u    0.41  2.60   0.16 
GTC/ULTRACAM    59933.14171  19.99 g   -0.38  0.97  -0.39 
GTC/ULTRACAM    59933.14171  19.99 r   -0.68  1.36  -0.50 
GTC/ULTRACAM    59933.14194  19.99 u    1.97  2.53   0.78 
GTC/ULTRACAM    59933.14194  19.99 g    0.21  1.05   0.20 
GTC/ULTRACAM    59933.14194  19.99 r   -0.01  1.28  -0.01 
GTC/ULTRACAM    59933.14218  19.99 u    3.72  2.56   1.45 
GTC/ULTRACAM    59933.14218  19.99 g    0.15  1.00   0.15 
GTC/ULTRACAM    59933.14218  19.99 r   -1.58  1.30  -1.22 
GTC/ULTRACAM    59933.14241  19.99 u    5.15  2.73   1.89 
GTC/ULTRACAM    59933.14241  19.99 g   -1.31  0.96  -1.36 
GTC/ULTRACAM    59933.14241  19.99 r   -1.84  1.31  -1.40 
GTC/ULTRACAM    59933.14264  19.99 u    0.27  2.46   0.11 
GTC/ULTRACAM    59933.14264  19.99 g    1.08  0.93   1.16 
GTC/ULTRACAM    59933.14264  19.99 r   -0.60  1.41  -0.43 
GTC/ULTRACAM    59933.14287  19.99 u   -2.31  2.51  -0.92 
GTC/ULTRACAM    59933.14287  19.99 g   -1.35  0.98  -1.38 
