#instrument     mjdstart    exp    flt flux  unc    sig
GTC/ULTRACAM    59933.09702  19.99 g    1.05  1.14   0.92 
GTC/ULTRACAM    59933.09702  19.99 r   -0.44  1.37  -0.32 
GTC/ULTRACAM    59933.09725  19.99 u    7.01  2.78   2.52 
GTC/ULTRACAM    59933.09725  19.99 g    1.90  1.01   1.88 
GTC/ULTRACAM    59933.09725  19.99 r    2.32  1.45   1.60 
GTC/ULTRACAM    59933.09748  19.99 u   -0.50  2.84  -0.18 
GTC/ULTRACAM    59933.09748  19.99 g    0.14  1.01   0.14 
GTC/ULTRACAM    59933.09748  19.99 r   -0.56  1.23  -0.46 
GTC/ULTRACAM    59933.09771  19.99 u   -1.56  2.94  -0.53 
GTC/ULTRACAM    59933.09771  19.99 g   -0.03  0.99  -0.03 
GTC/ULTRACAM    59933.09771  19.99 r   -0.21  1.29  -0.16 
GTC/ULTRACAM    59933.09794  19.99 u    2.73  2.61   1.05 
GTC/ULTRACAM    59933.09794  19.99 g    0.30  0.89   0.33 
GTC/ULTRACAM    59933.09794  19.99 r   -0.16  1.52  -0.10 
GTC/ULTRACAM    59933.09817  19.99 u    3.96  2.61   1.52 
GTC/ULTRACAM    59933.09817  19.99 g   -0.96  1.09  -0.88 
GTC/ULTRACAM    59933.09817  19.99 r   -1.06  1.36  -0.78 
GTC/ULTRACAM    59933.09841  19.99 u    4.59  2.70   1.70 
GTC/ULTRACAM    59933.09841  19.99 g   -0.61  0.99  -0.61 
GTC/ULTRACAM    59933.09841  19.99 r    2.07  1.43   1.45 
GTC/ULTRACAM    59933.09864  19.99 u    4.79  2.62   1.83 
GTC/ULTRACAM    59933.09864  19.99 g    1.56  1.00   1.56 
GTC/ULTRACAM    59933.09864  19.99 r    0.30  1.27   0.23 
GTC/ULTRACAM    59933.09887  19.99 u    5.12  2.57   1.99 
GTC/ULTRACAM    59933.09887  19.99 g    0.11  0.95   0.11 
GTC/ULTRACAM    59933.09887  19.99 r    1.13  1.26   0.90 
GTC/ULTRACAM    59933.09910  19.99 u    5.33  2.57   2.07 
GTC/ULTRACAM    59933.09910  19.99 g    0.91  0.93   0.97 
GTC/ULTRACAM    59933.09910  19.99 r    0.33  1.30   0.25 
GTC/ULTRACAM    59933.09933  19.99 u    9.37  2.53   3.70 *
GTC/ULTRACAM    59933.09933  19.99 g   -0.40  1.05  -0.38 
GTC/ULTRACAM    59933.09933  19.99 r   -0.77  1.48  -0.52 
GTC/ULTRACAM    59933.09956  19.99 u    5.06  2.59   1.95 
GTC/ULTRACAM    59933.09956  19.99 g    0.72  0.96   0.75 
GTC/ULTRACAM    59933.09956  19.99 r   -0.94  1.41  -0.66 
GTC/ULTRACAM    59933.09980  19.99 u    1.80  2.45   0.73 
GTC/ULTRACAM    59933.09980  19.99 g    1.54  1.01   1.52 
GTC/ULTRACAM    59933.09980  19.99 r   -0.09  1.32  -0.06 
GTC/ULTRACAM    59933.10003  19.99 u    4.72  2.63   1.79 
GTC/ULTRACAM    59933.10003  19.99 g    0.84  0.94   0.90 
GTC/ULTRACAM    59933.10003  19.99 r   -1.44  1.34  -1.07 
GTC/ULTRACAM    59933.10026  19.99 u    2.70  2.82   0.96 
GTC/ULTRACAM    59933.10026  19.99 g    1.82  1.00   1.83 
GTC/ULTRACAM    59933.10026  19.99 r    1.00  1.37   0.73 
GTC/ULTRACAM    59933.10049  19.99 u    1.79  2.25   0.80 
GTC/ULTRACAM    59933.10049  19.99 g    0.62  0.91   0.68 
GTC/ULTRACAM    59933.10049  19.99 r   -1.77  1.28  -1.38 
GTC/ULTRACAM    59933.10072  19.99 u    0.49  2.43   0.20 
GTC/ULTRACAM    59933.10072  19.99 g    0.69  0.92   0.75 
GTC/ULTRACAM    59933.10072  19.99 r   -1.64  1.30  -1.26 
GTC/ULTRACAM    59933.10095  19.99 u    3.56  2.66   1.34 
GTC/ULTRACAM    59933.10095  19.99 g    2.13  1.10   1.94 
GTC/ULTRACAM    59933.10095  19.99 r    0.97  1.39   0.70 
GTC/ULTRACAM    59933.10119  19.99 u    3.43  3.11   1.10 
GTC/ULTRACAM    59933.10119  19.99 g    0.25  1.11   0.22 
GTC/ULTRACAM    59933.10119  19.99 r    0.65  1.49   0.44 
GTC/ULTRACAM    59933.10142  19.99 u    5.57  3.35   1.66 
GTC/ULTRACAM    59933.10142  19.99 g    1.56  1.36   1.15 
GTC/ULTRACAM    59933.10142  19.99 r    0.92  1.84   0.50 
GTC/ULTRACAM    59933.10165  19.99 u    4.06  3.75   1.08 
GTC/ULTRACAM    59933.10165  19.99 g    1.35  1.46   0.92 
GTC/ULTRACAM    59933.10165  19.99 r    0.09  1.91   0.05 
GTC/ULTRACAM    59933.10188  19.99 u    1.57  3.16   0.50 
GTC/ULTRACAM    59933.10188  19.99 g    1.01  1.14   0.89 
GTC/ULTRACAM    59933.10188  19.99 r    3.36  1.49   2.26 
GTC/ULTRACAM    59933.10211  19.99 u   -3.37  3.02  -1.12 
GTC/ULTRACAM    59933.10211  19.99 g    1.22  1.13   1.08 
GTC/ULTRACAM    59933.10211  19.99 r    1.61  1.44   1.12 
GTC/ULTRACAM    59933.10234  19.99 u    3.51  3.29   1.07 
GTC/ULTRACAM    59933.10234  19.99 g   -0.23  1.22  -0.19 
GTC/ULTRACAM    59933.10234  19.99 r   -0.15  1.52  -0.10 
GTC/ULTRACAM    59933.10257  19.99 u    1.02  2.72   0.38 
GTC/ULTRACAM    59933.10257  19.99 g    1.07  1.15   0.93 
GTC/ULTRACAM    59933.10257  19.99 r    2.40  1.42   1.69 
GTC/ULTRACAM    59933.10281  19.99 u    2.11  3.61   0.58 
GTC/ULTRACAM    59933.10281  19.99 g   -1.44  1.22  -1.18 
GTC/ULTRACAM    59933.10281  19.99 r    1.11  1.74   0.64 
GTC/ULTRACAM    59933.10304  19.99 u    2.74  3.45   0.79 
GTC/ULTRACAM    59933.10304  19.99 g   -1.44  1.36  -1.06 
GTC/ULTRACAM    59933.10304  19.99 r   -0.15  1.77  -0.08 
GTC/ULTRACAM    59933.10327  19.99 u    8.44  3.52   2.40 
GTC/ULTRACAM    59933.10327  19.99 g    2.07  1.54   1.34 
GTC/ULTRACAM    59933.10327  19.99 r    1.88  1.76   1.07 
GTC/ULTRACAM    59933.10350  19.99 u    4.18  4.48   0.93 
GTC/ULTRACAM    59933.10350  19.99 g   -1.21  1.61  -0.75 
GTC/ULTRACAM    59933.10350  19.99 r    3.41  2.06   1.66 
GTC/ULTRACAM    59933.10373  19.99 u    1.14  3.47   0.33 
GTC/ULTRACAM    59933.10373  19.99 g   -0.07  1.28  -0.05 
GTC/ULTRACAM    59933.10373  19.99 r    0.38  1.70   0.23 
GTC/ULTRACAM    59933.10396  19.99 u    9.95  4.37   2.28 
GTC/ULTRACAM    59933.10396  19.99 g   -0.98  1.55  -0.63 
GTC/ULTRACAM    59933.10396  19.99 r    0.11  1.98   0.06 
GTC/ULTRACAM    59933.10420  19.99 u    0.82  3.58   0.23 
GTC/ULTRACAM    59933.10420  19.99 g   -1.67  1.23  -1.36 
GTC/ULTRACAM    59933.10420  19.99 r    2.12  1.69   1.25 
GTC/ULTRACAM    59933.10443  19.99 u    1.70  3.17   0.54 
GTC/ULTRACAM    59933.10443  19.99 g   -0.73  1.14  -0.64 
GTC/ULTRACAM    59933.10443  19.99 r    2.73  1.55   1.76 
GTC/ULTRACAM    59933.10466  19.99 u    5.17  2.96   1.75 
GTC/ULTRACAM    59933.10466  19.99 g    2.26  1.09   2.07 
GTC/ULTRACAM    59933.10466  19.99 r   -0.13  1.46  -0.09 
GTC/ULTRACAM    59933.10489  19.99 u    3.59  2.89   1.24 
GTC/ULTRACAM    59933.10489  19.99 g   -1.56  1.00  -1.57 
GTC/ULTRACAM    59933.10489  19.99 r   -0.10  1.48  -0.07 
GTC/ULTRACAM    59933.10512  19.99 u    1.88  2.55   0.74 
GTC/ULTRACAM    59933.10512  19.99 g    0.55  1.02   0.54 
GTC/ULTRACAM    59933.10512  19.99 r    1.28  1.44   0.89 
GTC/ULTRACAM    59933.10535  19.99 u    3.62  2.76   1.31 
GTC/ULTRACAM    59933.10535  19.99 g   -0.09  1.05  -0.09 
GTC/ULTRACAM    59933.10535  19.99 r    1.17  1.39   0.84 
GTC/ULTRACAM    59933.10559  19.99 u    9.26  2.81   3.30 *
GTC/ULTRACAM    59933.10559  19.99 g    2.54  1.08   2.35 
GTC/ULTRACAM    59933.10559  19.99 r    0.20  1.45   0.14 
GTC/ULTRACAM    59933.10582  19.99 u    4.36  2.50   1.74 
GTC/ULTRACAM    59933.10582  19.99 g   -0.33  1.13  -0.29 
GTC/ULTRACAM    59933.10582  19.99 r    0.94  1.31   0.72 
GTC/ULTRACAM    59933.10605  19.99 u   -2.36  2.85  -0.83 
GTC/ULTRACAM    59933.10605  19.99 g    1.53  1.13   1.35 
GTC/ULTRACAM    59933.10605  19.99 r   -1.90  1.42  -1.34 
GTC/ULTRACAM    59933.10628  19.99 u    4.27  3.22   1.33 
GTC/ULTRACAM    59933.10628  19.99 g    0.43  1.17   0.37 
GTC/ULTRACAM    59933.10628  19.99 r    1.72  1.43   1.20 
GTC/ULTRACAM    59933.10651  19.99 u    2.36  3.06   0.77 
GTC/ULTRACAM    59933.10651  19.99 g    1.52  1.18   1.29 
GTC/ULTRACAM    59933.10651  19.99 r    4.87  1.56   3.12 *
GTC/ULTRACAM    59933.10674  19.99 u    3.14  3.01   1.04 
GTC/ULTRACAM    59933.10674  19.99 g   -0.77  1.15  -0.67 
GTC/ULTRACAM    59933.10674  19.99 r    0.25  1.36   0.18 
GTC/ULTRACAM    59933.10697  19.99 u    4.13  2.99   1.38 
GTC/ULTRACAM    59933.10697  19.99 g    1.95  1.13   1.73 
GTC/ULTRACAM    59933.10697  19.99 r    0.33  1.52   0.22 
GTC/ULTRACAM    59933.10721  19.99 u    2.29  3.21   0.71 
GTC/ULTRACAM    59933.10721  19.99 g    0.13  1.16   0.11 
GTC/ULTRACAM    59933.10721  19.99 r    2.90  1.60   1.81 
GTC/ULTRACAM    59933.10744  19.99 u    3.07  3.96   0.78 
GTC/ULTRACAM    59933.10744  19.99 g    2.22  1.50   1.48 
GTC/ULTRACAM    59933.10744  19.99 r    1.70  1.97   0.86 
GTC/ULTRACAM    59933.10767  19.99 u    3.55  3.51   1.01 
GTC/ULTRACAM    59933.10767  19.99 g   -1.06  1.26  -0.84 
GTC/ULTRACAM    59933.10767  19.99 r    2.25  1.72   1.31 
GTC/ULTRACAM    59933.10790  19.99 u    6.16  3.92   1.57 
GTC/ULTRACAM    59933.10790  19.99 g    3.87  1.40   2.76 
GTC/ULTRACAM    59933.10790  19.99 r    1.17  1.96   0.60 
GTC/ULTRACAM    59933.10813  19.99 u    5.22  3.89   1.34 
GTC/ULTRACAM    59933.10813  19.99 g   -2.01  1.46  -1.38 
GTC/ULTRACAM    59933.10813  19.99 r   -0.50  2.19  -0.23 
GTC/ULTRACAM    59933.10836  19.99 u    5.22  3.08   1.69 
GTC/ULTRACAM    59933.10836  19.99 g    1.04  1.12   0.93 
GTC/ULTRACAM    59933.10836  19.99 r    1.25  1.61   0.78 
GTC/ULTRACAM    59933.10860  19.99 u    3.53  3.52   1.00 
GTC/ULTRACAM    59933.10860  19.99 g    0.20  1.42   0.14 
GTC/ULTRACAM    59933.10860  19.99 r    0.19  1.82   0.10 
GTC/ULTRACAM    59933.10883  19.99 u    4.06  3.02   1.34 
GTC/ULTRACAM    59933.10883  19.99 g   -0.31  1.05  -0.29 
GTC/ULTRACAM    59933.10883  19.99 r    2.39  1.51   1.58 
GTC/ULTRACAM    59933.10906  19.99 u    2.09  3.22   0.65 
GTC/ULTRACAM    59933.10906  19.99 g    1.61  1.14   1.41 
GTC/ULTRACAM    59933.10906  19.99 r    1.76  1.66   1.06 
GTC/ULTRACAM    59933.10929  19.99 u    2.54  2.93   0.87 
GTC/ULTRACAM    59933.10929  19.99 g   -0.43  1.12  -0.39 
GTC/ULTRACAM    59933.10929  19.99 r   -0.89  1.52  -0.58 
GTC/ULTRACAM    59933.10952  19.99 u    2.28  2.88   0.79 
GTC/ULTRACAM    59933.10952  19.99 g   -0.94  1.13  -0.83 
GTC/ULTRACAM    59933.10952  19.99 r   -0.56  1.59  -0.35 
GTC/ULTRACAM    59933.10975  19.99 u    2.97  3.33   0.89 
GTC/ULTRACAM    59933.10975  19.99 g    2.76  1.20   2.30 
GTC/ULTRACAM    59933.10975  19.99 r   -0.57  1.60  -0.36 
GTC/ULTRACAM    59933.10999  19.99 u    0.65  4.33   0.15 
GTC/ULTRACAM    59933.10999  19.99 g    2.47  1.61   1.53 
GTC/ULTRACAM    59933.10999  19.99 r    3.30  2.05   1.61 
GTC/ULTRACAM    59933.11022  19.99 u    0.90  3.68   0.25 
GTC/ULTRACAM    59933.11022  19.99 g    0.40  1.45   0.28 
GTC/ULTRACAM    59933.11022  19.99 r   -0.59  1.59  -0.37 
GTC/ULTRACAM    59933.11045  19.99 u    5.12  3.36   1.52 
GTC/ULTRACAM    59933.11045  19.99 g    0.94  1.22   0.77 
GTC/ULTRACAM    59933.11045  19.99 r    0.26  1.67   0.16 
GTC/ULTRACAM    59933.11068  19.99 u    0.45  2.44   0.19 
GTC/ULTRACAM    59933.11068  19.99 g    0.28  1.04   0.27 
GTC/ULTRACAM    59933.11068  19.99 r    2.73  1.39   1.96 
GTC/ULTRACAM    59933.11091  19.99 u    0.05  2.63   0.02 
GTC/ULTRACAM    59933.11091  19.99 g    1.99  1.09   1.83 
GTC/ULTRACAM    59933.11091  19.99 r    2.32  1.39   1.67 
GTC/ULTRACAM    59933.11114  19.99 u    3.02  2.84   1.06 
GTC/ULTRACAM    59933.11114  19.99 g   -0.50  1.16  -0.43 
GTC/ULTRACAM    59933.11114  19.99 r    0.68  1.58   0.43 
GTC/ULTRACAM    59933.11138  19.99 u    4.07  2.68   1.52 
GTC/ULTRACAM    59933.11138  19.99 g   -1.17  1.15  -1.02 
GTC/ULTRACAM    59933.11138  19.99 r    2.38  1.53   1.56 
GTC/ULTRACAM    59933.11161  19.99 u    3.19  3.23   0.99 
GTC/ULTRACAM    59933.11161  19.99 g    1.06  1.19   0.89 
GTC/ULTRACAM    59933.11161  19.99 r    0.93  1.56   0.59 
GTC/ULTRACAM    59933.11184  19.99 u    2.51  3.30   0.76 
GTC/ULTRACAM    59933.11184  19.99 g    0.74  1.23   0.60 
GTC/ULTRACAM    59933.11184  19.99 r    0.14  1.64   0.09 
GTC/ULTRACAM    59933.11207  19.99 u    2.33  2.76   0.84 
GTC/ULTRACAM    59933.11207  19.99 g    0.79  1.11   0.71 
GTC/ULTRACAM    59933.11207  19.99 r    0.26  1.51   0.17 
GTC/ULTRACAM    59933.11230  19.99 u    5.93  2.91   2.04 
GTC/ULTRACAM    59933.11230  19.99 g   -0.89  1.05  -0.85 
GTC/ULTRACAM    59933.11230  19.99 r    0.47  1.40   0.33 
GTC/ULTRACAM    59933.11253  19.99 u   -0.26  3.51  -0.08 
GTC/ULTRACAM    59933.11253  19.99 g   -0.72  1.22  -0.59 
GTC/ULTRACAM    59933.11253  19.99 r    0.58  1.62   0.36 
GTC/ULTRACAM    59933.11276  19.99 u    6.04  3.07   1.97 
GTC/ULTRACAM    59933.11276  19.99 g    1.59  1.04   1.53 
GTC/ULTRACAM    59933.11276  19.99 r    2.03  1.57   1.29 
GTC/ULTRACAM    59933.11300  19.99 u   -2.87  2.71  -1.06 
GTC/ULTRACAM    59933.11300  19.99 g    0.78  1.02   0.76 
GTC/ULTRACAM    59933.11300  19.99 r    1.75  1.49   1.17 
GTC/ULTRACAM    59933.11323  19.99 u    2.83  2.51   1.13 
GTC/ULTRACAM    59933.11323  19.99 g   -1.05  1.02  -1.03 
GTC/ULTRACAM    59933.11323  19.99 r    2.12  1.32   1.61 
GTC/ULTRACAM    59933.11346  19.99 u   -1.22  2.81  -0.43 
GTC/ULTRACAM    59933.11346  19.99 g   -0.01  1.01  -0.01 
GTC/ULTRACAM    59933.11346  19.99 r    1.31  1.35   0.97 
GTC/ULTRACAM    59933.11369  19.99 u   -0.76  2.42  -0.31 
GTC/ULTRACAM    59933.11369  19.99 g    1.38  1.02   1.35 
GTC/ULTRACAM    59933.11369  19.99 r    0.85  1.35   0.63 
GTC/ULTRACAM    59933.11392  19.99 u    3.78  2.55   1.48 
GTC/ULTRACAM    59933.11392  19.99 g    0.59  0.96   0.62 
GTC/ULTRACAM    59933.11392  19.99 r   -0.35  1.34  -0.26 
GTC/ULTRACAM    59933.11415  19.99 u    4.08  2.37   1.72 
GTC/ULTRACAM    59933.11415  19.99 g    0.79  1.03   0.77 
GTC/ULTRACAM    59933.11415  19.99 r    0.90  1.30   0.69 
GTC/ULTRACAM    59933.11439  19.99 u    0.22  2.50   0.09 
