 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 506 3 3 ZTF_g 2086446801115 0 2.3638 111.614 6.35663 26.4263 2.02808e-05 0.0316836 -0.104664 2.329e-05 496 30. 0.070656 0.069437 20.4291 26.4263 1 2459840.9468056 506120111 45.3627692510736 28.2137682703377 1.7885177929708 1.13269287161944 22.0730107436597 50.7709879567394 0.437684485476655 1.03109543076496 1.56300433245117 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 10 506 3 3 ZTF_g 2086483391115 0 2.0414 112.074 6.40832 26.4282 1.95459e-05 0.0308506 -0.103397 2.23517e-05 491 30. 0.07091 0.063921 20.55 26.4282 1 2459840.9833912 506120111 92.0817539711079 29.4334056633722 3.48006910620005 0.935794211980898 135.492140179585 55.9376584778611 2.43851264516565 1.02885732079015 1.56300433245117 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 11 506 3 3 ZTF_r 2088436161115 0 2.0498 217.425 6.33045 26.2862 9.0528e-06 0.0211976 0.0915946 1.02137e-05 497 30. 0.074084 0.068746 20.4695 26.2862 1 2459842.936169 506120211 78.3770467941537 27.4906421919163 3.17145688236327 0.964636375356425 120.454588891428 51.1337631198202 2.37154181658403 1.0315029687811 1.16147858979923 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 12 506 3 3 ZTF_g 2088446741115 0 2.8964 112.71 5.81969 26.4568 2.45316e-05 0.0338522 -0.117914 2.90941e-05 479 30. 0.087399 0.077402 20.3934 26.4568 1 2459842.9467477 506120111 91.9973395144676 32.8658675375138 3.11375880514966 1.0202531764605 97.703215777975 53.0721272765574 1.85335047990497 1.03684930307433 1.56300433245117 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 13 506 3 3 ZTF_r 2090404241115 0 2.0384 217.232 5.99697 26.2898 8.2329e-06 0.0201761 0.0868423 9.27317e-06 493 30. 0.070024 0.067339 20.5095 26.2898 1 2459844.9042477 506120211 38.7853527766999 26.0046815594453 1.65909405482698 0.96060506934503 80.1119249185769 49.4523692493369 1.63089220125115 1.03168129344953 1.16147858979923 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 56
 14 506 3 3 ZTF_g 2090447751115 0 2.689 112.787 5.32532 26.4574 2.32425e-05 0.0335172 -0.133276 2.65558e-05 487 30. 0.078974 0.074345 20.5303 26.4574 1 2459844.9477546 506120111 80.0910890734638 27.6987842458848 3.2164610219934 1.02439037727895 104.121642469387 45.9768824332469 2.27990464282215 1.03762119983009 1.56300433245117 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 15 506 3 3 ZTF_r 2093441641115 0 1.9446 214.181 6.43626 26.274 9.0987e-06 0.0210912 0.087167 1.02904e-05 490 30. 0.0742 0.066101 20.4773 26.274 1 2459847.9416435 506120211 3.53000909539943 26.7161290647633 0.146979610659253 0.922108174035962 6.15274033306322 52.9493869304389 0.116983023832575 1.02508676142831 1.16147858979923 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 16 506 3 3 ZTF_g 2095463091115 0 2.6652 111.189 5.21089 26.4661 2.2324e-05 0.0328106 -0.117126 2.56943e-05 486 30. 0.084385 0.072242 20.5921 26.4661 1 2459849.9630903 506120111 26.4332698346889 27.3448308442407 1.07530198932959 1.00603632587433 21.7180411580602 46.9258655975862 0.46593308693127 1.03471040587918 1.56300433245117 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 17 506 3 3 ZTF_r 2097442891115 0 1.7347 208.067 5.82334 26.2424 8.5454e-06 0.0205066 0.0854558 9.66307e-06 493 30. 0.069631 0.077639 20.6124 26.2424 1 2459851.9428935 506120211 7.27886656378392 19.6691170228249 0.411655284450312 0.991320067106967 32.9700046621186 40.2288208285881 0.825081592171766 1.02273109319981 1.16147858979923 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 18 506 3 3 ZTF_i 2099429431115 0 2.3305 207.516 6.0482 25.6134 1.33215e-05 0.0309858 0.150598 4.91645e-05 333 30. 0.087684 0.077716 19.6934 25.6134 2 2459853.9294329 506120311 1.98745026120132 23.7450271818917 0.0931061564278629 0.954807023007725 0.677882253254172 45.7270832393998 0.0149243682493117 1.02766160689087 1.44773025640076 20.5660001373291 0.0879999995231628 1.5900000333786 0.211999997496605 2459135.869687 2459852.881412 0
