#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59933.13199  19.99 r    2.14  1.31   1.63 
NTT/ULTRACAM    59933.13222  19.99 u    2.44  2.40   1.02 
NTT/ULTRACAM    59933.13222  19.99 g    0.14  0.94   0.15 
NTT/ULTRACAM    59933.13222  19.99 r    0.57  1.31   0.44 
NTT/ULTRACAM    59933.13245  19.99 u   -1.17  2.37  -0.49 
NTT/ULTRACAM    59933.13245  19.99 g    1.51  0.92   1.64 
NTT/ULTRACAM    59933.13245  19.99 r    2.62  1.35   1.94 
NTT/ULTRACAM    59933.13268  19.99 u   -1.70  2.47  -0.69 
NTT/ULTRACAM    59933.13268  19.99 g    0.65  0.92   0.71 
NTT/ULTRACAM    59933.13268  19.99 r    1.55  1.38   1.12 
NTT/ULTRACAM    59933.13291  19.99 u    0.21  2.75   0.08 
NTT/ULTRACAM    59933.13291  19.99 g    0.31  0.97   0.32 
NTT/ULTRACAM    59933.13291  19.99 r   -0.40  1.30  -0.31 
NTT/ULTRACAM    59933.13314  19.99 u   -3.02  2.52  -1.20 
NTT/ULTRACAM    59933.13314  19.99 g   -0.55  0.98  -0.56 
NTT/ULTRACAM    59933.13314  19.99 r   -0.19  1.23  -0.16 
NTT/ULTRACAM    59933.13338  19.99 u    0.76  2.52   0.30 
NTT/ULTRACAM    59933.13338  19.99 g    2.79  1.00   2.79 
NTT/ULTRACAM    59933.13338  19.99 r   -1.36  1.34  -1.01 
NTT/ULTRACAM    59933.13361  19.99 u    1.88  2.34   0.80 
NTT/ULTRACAM    59933.13361  19.99 g    1.69  0.95   1.79 
NTT/ULTRACAM    59933.13361  19.99 r    1.23  1.37   0.90 
NTT/ULTRACAM    59933.13384  19.99 u    1.77  2.35   0.75 
NTT/ULTRACAM    59933.13384  19.99 g    0.00  0.95   0.00 
NTT/ULTRACAM    59933.13384  19.99 r   -1.08  1.25  -0.86 
NTT/ULTRACAM    59933.13407  19.99 u    1.41  2.53   0.56 
NTT/ULTRACAM    59933.13407  19.99 g    0.13  0.95   0.14 
NTT/ULTRACAM    59933.13407  19.99 r    3.27  1.27   2.57 
NTT/ULTRACAM    59933.13430  19.99 u    3.52  2.35   1.50 
NTT/ULTRACAM    59933.13430  19.99 g   -0.48  0.88  -0.55 
NTT/ULTRACAM    59933.13430  19.99 r    1.49  1.31   1.14 
NTT/ULTRACAM    59933.13453  19.99 u   -1.95  2.60  -0.75 
NTT/ULTRACAM    59933.13453  19.99 g   -0.64  0.95  -0.67 
NTT/ULTRACAM    59933.13453  19.99 r   -0.25  1.29  -0.19 
NTT/ULTRACAM    59933.13477  19.99 u    2.70  2.42   1.12 
NTT/ULTRACAM    59933.13477  19.99 g    1.61  1.01   1.59 
