#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59933.14889  19.99 r    0.77  1.43   0.54 
NTT/ULTRACAM    59933.14912  19.99 u    2.10  2.67   0.79 
NTT/ULTRACAM    59933.14912  19.99 g   -1.01  1.08  -0.94 
NTT/ULTRACAM    59933.14912  19.99 r   -2.13  1.41  -1.51 
NTT/ULTRACAM    59933.14936  19.99 u    2.71  2.91   0.93 
NTT/ULTRACAM    59933.14936  19.99 g   -0.50  1.12  -0.45 
NTT/ULTRACAM    59933.14936  19.99 r    2.08  1.46   1.42 
NTT/ULTRACAM    59933.14959  19.99 u    0.44  2.59   0.17 
NTT/ULTRACAM    59933.14959  19.99 g   -1.23  0.99  -1.25 
NTT/ULTRACAM    59933.14959  19.99 r    0.18  1.39   0.13 
NTT/ULTRACAM    59933.14982  19.99 u   -0.35  2.66  -0.13 
NTT/ULTRACAM    59933.14982  19.99 g    1.53  1.04   1.47 
NTT/ULTRACAM    59933.14982  19.99 r   -0.33  1.41  -0.24 
NTT/ULTRACAM    59933.15005  19.99 u    1.75  2.55   0.69 
NTT/ULTRACAM    59933.15005  19.99 g    0.98  0.99   1.00 
NTT/ULTRACAM    59933.15005  19.99 r   -0.87  1.50  -0.58 
NTT/ULTRACAM    59933.15028  19.99 u   -3.14  2.58  -1.22 
NTT/ULTRACAM    59933.15028  19.99 g    0.33  0.96   0.35 
NTT/ULTRACAM    59933.15028  19.99 r   -0.45  1.33  -0.34 
NTT/ULTRACAM    59933.15051  19.99 u   -1.84  2.72  -0.68 
NTT/ULTRACAM    59933.15051  19.99 g    1.81  1.05   1.72 
NTT/ULTRACAM    59933.15051  19.99 r   -0.74  1.35  -0.55 
NTT/ULTRACAM    59933.15074  19.99 u   -4.49  3.08  -1.46 
NTT/ULTRACAM    59933.15074  19.99 g   -0.00  1.02  -0.00 
NTT/ULTRACAM    59933.15074  19.99 r    0.15  1.60   0.10 
NTT/ULTRACAM    59933.15098  19.99 u    1.60  2.82   0.57 
NTT/ULTRACAM    59933.15098  19.99 g   -1.02  0.99  -1.04 
NTT/ULTRACAM    59933.15098  19.99 r   -0.71  1.41  -0.51 
NTT/ULTRACAM    59933.15121  19.99 u    2.46  2.46   1.00 
NTT/ULTRACAM    59933.15121  19.99 g    2.17  1.02   2.13 
NTT/ULTRACAM    59933.15121  19.99 r   -1.50  1.47  -1.02 
NTT/ULTRACAM    59933.15144  19.99 u    0.43  2.52   0.17 
NTT/ULTRACAM    59933.15144  19.99 g   -0.11  1.02  -0.11 
NTT/ULTRACAM    59933.15144  19.99 r    0.28  1.32   0.21 
NTT/ULTRACAM    59933.15167  19.99 u   -4.23  2.58  -1.64 
NTT/ULTRACAM    59933.15167  19.99 g    0.36  0.97   0.37 
NTT/ULTRACAM    59933.15167  19.99 r   -1.86  1.40  -1.33 
NTT/ULTRACAM    59933.15190  19.99 u    2.28  2.63   0.87 
NTT/ULTRACAM    59933.15190  19.99 g   -1.47  0.93  -1.57 
NTT/ULTRACAM    59933.15190  19.99 r   -0.27  1.40  -0.20 
NTT/ULTRACAM    59933.15213  19.99 u   -0.29  2.63  -0.11 
NTT/ULTRACAM    59933.15213  19.99 g   -2.21  0.96  -2.31 
NTT/ULTRACAM    59933.15213  19.99 r   -2.22  1.41  -1.57 
NTT/ULTRACAM    59933.15237  19.99 u    1.18  2.64   0.45 
NTT/ULTRACAM    59933.15237  19.99 g   -0.85  0.98  -0.87 
NTT/ULTRACAM    59933.15237  19.99 r   -0.50  1.40  -0.36 
NTT/ULTRACAM    59933.15260  19.99 u   -0.24  3.17  -0.07 
NTT/ULTRACAM    59933.15260  19.99 g   -0.75  1.16  -0.65 
NTT/ULTRACAM    59933.15260  19.99 r    1.37  1.58   0.87 
NTT/ULTRACAM    59933.15283  19.99 u    2.23  3.28   0.68 
NTT/ULTRACAM    59933.15283  19.99 g   -0.85  1.27  -0.67 
NTT/ULTRACAM    59933.15283  19.99 r    0.35  1.63   0.22 
NTT/ULTRACAM    59933.15306  19.99 u    0.17  3.04   0.06 
NTT/ULTRACAM    59933.15306  19.99 g   -0.14  1.18  -0.12 
NTT/ULTRACAM    59933.15306  19.99 r   -1.70  1.58  -1.08 
NTT/ULTRACAM    59933.15329  19.99 u   -0.19  2.81  -0.07 
NTT/ULTRACAM    59933.15329  19.99 g    1.54  1.12   1.38 
NTT/ULTRACAM    59933.15329  19.99 r   -0.94  1.55  -0.61 
NTT/ULTRACAM    59933.15352  19.99 u   -3.27  2.99  -1.09 
NTT/ULTRACAM    59933.15352  19.99 g   -0.64  1.16  -0.55 
NTT/ULTRACAM    59933.15352  19.99 r   -1.74  1.55  -1.12 
NTT/ULTRACAM    59933.15376  19.99 u    2.51  3.07   0.82 
NTT/ULTRACAM    59933.15376  19.99 g    0.23  1.31   0.17 
NTT/ULTRACAM    59933.15376  19.99 r   -0.88  1.64  -0.54 
NTT/ULTRACAM    59933.15399  19.99 u    1.57  3.10   0.51 
NTT/ULTRACAM    59933.15399  19.99 g   -0.20  1.25  -0.16 
NTT/ULTRACAM    59933.15399  19.99 r    2.68  1.58   1.70 
NTT/ULTRACAM    59933.15422  19.99 u   -1.14  3.22  -0.35 
NTT/ULTRACAM    59933.15422  19.99 g   -0.05  1.11  -0.05 
NTT/ULTRACAM    59933.15422  19.99 r   -1.04  1.59  -0.65 
NTT/ULTRACAM    59933.15445  19.99 g   -0.92  1.07  -0.86 
NTT/ULTRACAM    59933.15445  19.99 r   -1.63  1.55  -1.05 
NTT/ULTRACAM    59933.15468  19.99 u    0.23  2.79   0.08 
NTT/ULTRACAM    59933.15468  19.99 g   -1.15  1.06  -1.08 
NTT/ULTRACAM    59933.15468  19.99 r   -0.43  1.44  -0.30 
NTT/ULTRACAM    59933.15491  19.99 u    6.88  4.05   1.70 
NTT/ULTRACAM    59933.15491  19.99 g    2.01  1.50   1.34 
NTT/ULTRACAM    59933.15491  19.99 r    4.62  2.02   2.29 
NTT/ULTRACAM    59933.15515  19.99 g    2.49  1.43   1.74 
NTT/ULTRACAM    59933.15515  19.99 r    2.01  2.01   1.00 
NTT/ULTRACAM    59933.15538  19.99 u   -0.92  3.10  -0.30 
NTT/ULTRACAM    59933.15538  19.99 g   -0.11  1.27  -0.09 
NTT/ULTRACAM    59933.15538  19.99 r    0.15  1.52   0.10 
NTT/ULTRACAM    59933.15561  19.99 g   -0.29  1.13  -0.26 
NTT/ULTRACAM    59933.15561  19.99 r    0.00  1.50   0.00 
NTT/ULTRACAM    59933.15584  19.99 u   -3.53  3.24  -1.09 
NTT/ULTRACAM    59933.15584  19.99 g   -0.31  1.17  -0.27 
NTT/ULTRACAM    59933.15584  19.99 r    2.20  1.57   1.40 
NTT/ULTRACAM    59933.15607  19.99 u   -1.06  4.15  -0.26 
NTT/ULTRACAM    59933.15607  19.99 g   -0.80  1.54  -0.52 
NTT/ULTRACAM    59933.15607  19.99 r    0.14  1.85   0.08 
NTT/ULTRACAM    59933.15630  19.99 u    6.03  3.77   1.60 
NTT/ULTRACAM    59933.15630  19.99 g    0.07  1.54   0.05 
NTT/ULTRACAM    59933.15630  19.99 r    2.47  1.82   1.36 
NTT/ULTRACAM    59933.15653  19.99 u   -2.93  3.08  -0.95 
NTT/ULTRACAM    59933.15653  19.99 g    1.30  1.07   1.21 
NTT/ULTRACAM    59933.15653  19.99 r    2.50  1.63   1.53 
NTT/ULTRACAM    59933.15677  19.99 u    2.18  3.07   0.71 
NTT/ULTRACAM    59933.15677  19.99 g    0.64  1.14   0.56 
NTT/ULTRACAM    59933.15677  19.99 r   -0.15  1.41  -0.11 
NTT/ULTRACAM    59933.15700  19.99 u    2.60  3.07   0.85 
NTT/ULTRACAM    59933.15700  19.99 g    0.53  1.16   0.46 
NTT/ULTRACAM    59933.15700  19.99 r    2.17  1.45   1.50 
NTT/ULTRACAM    59933.15723  19.99 u    1.67  3.84   0.43 
NTT/ULTRACAM    59933.15723  19.99 g    0.93  1.44   0.64 
NTT/ULTRACAM    59933.15723  19.99 r   -0.76  1.91  -0.40 
NTT/ULTRACAM    59933.15746  19.99 u    0.85  3.31   0.26 
NTT/ULTRACAM    59933.15746  19.99 g    1.57  1.09   1.44 
NTT/ULTRACAM    59933.15746  19.99 r   -0.14  1.55  -0.09 
NTT/ULTRACAM    59933.15769  19.99 u    1.04  2.98   0.35 
NTT/ULTRACAM    59933.15769  19.99 g    0.40  1.04   0.38 
NTT/ULTRACAM    59933.15769  19.99 r    2.34  1.31   1.79 
NTT/ULTRACAM    59933.15792  19.99 g    0.63  1.24   0.51 
NTT/ULTRACAM    59933.15792  19.99 r    0.78  1.63   0.48 
NTT/ULTRACAM    59933.15816  19.99 u    2.77  2.87   0.97 
NTT/ULTRACAM    59933.15816  19.99 g    2.43  1.09   2.23 
NTT/ULTRACAM    59933.15816  19.99 r   -1.06  1.42  -0.75 
NTT/ULTRACAM    59933.15839  19.99 u    0.17  2.93   0.06 
NTT/ULTRACAM    59933.15839  19.99 g   -0.37  1.05  -0.35 
NTT/ULTRACAM    59933.15839  19.99 r    0.38  1.53   0.25 
NTT/ULTRACAM    59933.15862  19.99 u   -0.92  2.81  -0.33 
NTT/ULTRACAM    59933.15862  19.99 g    0.82  0.99   0.82 
NTT/ULTRACAM    59933.15862  19.99 r   -0.11  1.55  -0.07 
NTT/ULTRACAM    59933.15885  19.99 u    6.24  2.99   2.09 
NTT/ULTRACAM    59933.15885  19.99 g   -1.05  1.02  -1.03 
NTT/ULTRACAM    59933.15885  19.99 r    2.64  1.38   1.91 
NTT/ULTRACAM    59933.15908  19.99 u    5.07  3.46   1.47 
NTT/ULTRACAM    59933.15908  19.99 g    0.51  1.15   0.44 
NTT/ULTRACAM    59933.15908  19.99 r   -1.15  1.55  -0.74 
NTT/ULTRACAM    59933.15931  19.99 u    2.79  3.05   0.91 
NTT/ULTRACAM    59933.15931  19.99 g    0.41  1.11   0.37 
NTT/ULTRACAM    59933.15931  19.99 r   -1.89  1.49  -1.27 
NTT/ULTRACAM    59933.15955  19.99 g    0.31  1.09   0.29 
NTT/ULTRACAM    59933.15955  19.99 r    2.90  1.52   1.91 
NTT/ULTRACAM    59933.15978  19.99 u    5.34  2.78   1.92 
NTT/ULTRACAM    59933.15978  19.99 g   -0.19  1.03  -0.19 
NTT/ULTRACAM    59933.15978  19.99 r    1.23  1.45   0.85 
NTT/ULTRACAM    59933.16001  19.99 g   -0.35  1.10  -0.32 
NTT/ULTRACAM    59933.16001  19.99 r    1.17  1.40   0.84 
NTT/ULTRACAM    59933.16024  19.99 u    2.08  2.51   0.83 
NTT/ULTRACAM    59933.16024  19.99 g    1.39  1.02   1.36 
NTT/ULTRACAM    59933.16024  19.99 r    1.30  1.42   0.92 
NTT/ULTRACAM    59933.16047  19.99 u    7.45  2.69   2.77 
NTT/ULTRACAM    59933.16047  19.99 g    0.66  0.98   0.67 
NTT/ULTRACAM    59933.16047  19.99 r   -0.68  1.41  -0.48 
NTT/ULTRACAM    59933.16070  19.99 u    3.03  2.61   1.16 
NTT/ULTRACAM    59933.16070  19.99 g   -0.27  1.06  -0.25 
NTT/ULTRACAM    59933.16070  19.99 r    2.27  1.33   1.71 
NTT/ULTRACAM    59933.16093  19.99 u   -0.35  2.78  -0.13 
NTT/ULTRACAM    59933.16093  19.99 g    0.14  1.00   0.14 
NTT/ULTRACAM    59933.16093  19.99 r    0.09  1.39   0.06 
NTT/ULTRACAM    59933.16117  19.99 u   -1.81  2.84  -0.64 
NTT/ULTRACAM    59933.16117  19.99 g   -0.19  0.98  -0.20 
NTT/ULTRACAM    59933.16117  19.99 r   -0.73  1.48  -0.49 
NTT/ULTRACAM    59933.16140  19.99 u   -2.35  2.66  -0.88 
NTT/ULTRACAM    59933.16140  19.99 g    0.98  1.12   0.87 
NTT/ULTRACAM    59933.16140  19.99 r   -1.85  1.45  -1.28 
NTT/ULTRACAM    59933.16163  19.99 g    0.64  1.13   0.57 
NTT/ULTRACAM    59933.16163  19.99 r    0.47  1.46   0.32 
NTT/ULTRACAM    59933.16186  19.99 u    0.19  2.63   0.07 
NTT/ULTRACAM    59933.16186  19.99 g    0.40  1.03   0.39 
NTT/ULTRACAM    59933.16186  19.99 r    0.33  1.35   0.25 
NTT/ULTRACAM    59933.16209  19.99 u    1.88  2.69   0.70 
NTT/ULTRACAM    59933.16209  19.99 g    0.34  0.96   0.35 
NTT/ULTRACAM    59933.16209  19.99 r   -0.66  1.46  -0.45 
NTT/ULTRACAM    59933.16232  19.99 u    1.12  2.68   0.42 
NTT/ULTRACAM    59933.16232  19.99 g    0.09  1.12   0.08 
NTT/ULTRACAM    59933.16232  19.99 r   -0.54  1.44  -0.37 
NTT/ULTRACAM    59933.16256  19.99 g    0.78  1.24   0.63 
NTT/ULTRACAM    59933.16256  19.99 r    0.62  1.58   0.39 
NTT/ULTRACAM    59933.16279  19.99 u    3.36  3.32   1.01 
NTT/ULTRACAM    59933.16279  19.99 g   -1.21  1.13  -1.07 
NTT/ULTRACAM    59933.16279  19.99 r    0.16  1.58   0.10 
NTT/ULTRACAM    59933.16302  19.99 u    3.20  3.22   0.99 
NTT/ULTRACAM    59933.16302  19.99 g    2.71  1.19   2.28 
NTT/ULTRACAM    59933.16302  19.99 r    0.43  1.59   0.27 
NTT/ULTRACAM    59933.16325  19.99 u   -4.31  3.07  -1.40 
NTT/ULTRACAM    59933.16325  19.99 g    1.24  1.12   1.11 
NTT/ULTRACAM    59933.16325  19.99 r    0.93  1.60   0.58 
NTT/ULTRACAM    59933.16348  19.99 u    4.41  2.98   1.48 
NTT/ULTRACAM    59933.16348  19.99 g    0.49  1.09   0.45 
NTT/ULTRACAM    59933.16348  19.99 r    0.92  1.45   0.64 
NTT/ULTRACAM    59933.16371  19.99 u    0.61  4.63   0.13 
NTT/ULTRACAM    59933.16371  19.99 g    1.75  1.55   1.13 
NTT/ULTRACAM    59933.16371  19.99 r    1.52  2.02   0.75 
NTT/ULTRACAM    59933.16395  19.99 g    1.39  1.32   1.05 
NTT/ULTRACAM    59933.16395  19.99 r    2.22  1.76   1.26 
NTT/ULTRACAM    59933.16418  19.99 g    0.89  1.14   0.78 
NTT/ULTRACAM    59933.16418  19.99 r    2.66  1.55   1.72 
NTT/ULTRACAM    59933.16441  19.99 g    0.78  1.25   0.62 
NTT/ULTRACAM    59933.16441  19.99 r   -0.14  1.65  -0.08 
NTT/ULTRACAM    59933.16464  19.99 u    2.17  2.90   0.75 
NTT/ULTRACAM    59933.16464  19.99 g   -0.51  1.20  -0.43 
NTT/ULTRACAM    59933.16464  19.99 r   -0.87  1.52  -0.57 
NTT/ULTRACAM    59933.16487  19.99 u    0.52  3.42   0.15 
NTT/ULTRACAM    59933.16487  19.99 g    1.11  1.18   0.94 
NTT/ULTRACAM    59933.16487  19.99 r    1.38  1.64   0.84 
NTT/ULTRACAM    59933.16510  19.99 g   -0.75  1.42  -0.53 
NTT/ULTRACAM    59933.16510  19.99 r    0.24  1.80   0.13 
NTT/ULTRACAM    59933.16533  19.99 g   -0.00  1.53  -0.00 
NTT/ULTRACAM    59933.16533  19.99 r    0.70  1.96   0.36 
NTT/ULTRACAM    59933.16557  19.99 g   -0.94  1.45  -0.65 
NTT/ULTRACAM    59933.16557  19.99 r    0.85  1.83   0.47 
NTT/ULTRACAM    59933.16580  19.99 g   -1.71  1.16  -1.47 
NTT/ULTRACAM    59933.16580  19.99 r    2.79  1.48   1.89 
NTT/ULTRACAM    59933.16603  19.99 g    1.98  1.26   1.57 
NTT/ULTRACAM    59933.16603  19.99 r    2.00  1.59   1.26 
NTT/ULTRACAM    59933.16626  19.99 u    3.58  3.44   1.04 
NTT/ULTRACAM    59933.16626  19.99 g   -0.36  1.22  -0.29 
NTT/ULTRACAM    59933.16626  19.99 r   -0.02  1.80  -0.01 
NTT/ULTRACAM    59933.16649  19.99 u    1.51  3.49   0.43 
NTT/ULTRACAM    59933.16649  19.99 g    0.50  1.29   0.38 
NTT/ULTRACAM    59933.16649  19.99 r   -0.09  1.49  -0.06 
NTT/ULTRACAM    59933.16672  19.99 u   -2.29  2.90  -0.79 
NTT/ULTRACAM    59933.16672  19.99 g    0.80  1.26   0.63 
NTT/ULTRACAM    59933.16672  19.99 r    0.65  1.61   0.41 
NTT/ULTRACAM    59933.16696  19.99 u    0.43  3.23   0.13 
NTT/ULTRACAM    59933.16696  19.99 g   -0.08  1.22  -0.06 
NTT/ULTRACAM    59933.16696  19.99 r   -2.19  1.46  -1.50 
NTT/ULTRACAM    59933.16719  19.99 u    3.43  3.71   0.92 
NTT/ULTRACAM    59933.16719  19.99 g    3.58  1.42   2.52 
NTT/ULTRACAM    59933.16719  19.99 r    2.40  1.78   1.35 
NTT/ULTRACAM    59933.16742  19.99 g   -1.70  1.49  -1.14 
NTT/ULTRACAM    59933.16742  19.99 r    0.76  1.76   0.43 
NTT/ULTRACAM    59933.16765  19.99 g    1.83  1.13   1.62 
NTT/ULTRACAM    59933.16765  19.99 r   -2.71  1.50  -1.81 
NTT/ULTRACAM    59933.16788  19.99 u   -0.77  2.56  -0.30 
NTT/ULTRACAM    59933.16788  19.99 g    0.16  1.00   0.16 
NTT/ULTRACAM    59933.16788  19.99 r   -0.17  1.42  -0.12 
NTT/ULTRACAM    59933.16811  19.99 u    2.54  2.70   0.94 
NTT/ULTRACAM    59933.16811  19.99 g    0.32  1.03   0.31 
NTT/ULTRACAM    59933.16811  19.99 r   -1.47  1.32  -1.11 
NTT/ULTRACAM    59933.16835  19.99 u    2.37  2.69   0.88 
NTT/ULTRACAM    59933.16835  19.99 g    0.54  1.05   0.52 
NTT/ULTRACAM    59933.16835  19.99 r   -0.93  1.30  -0.72 
NTT/ULTRACAM    59933.16858  19.99 u    4.78  3.25   1.47 
NTT/ULTRACAM    59933.16858  19.99 g    1.84  1.21   1.52 
NTT/ULTRACAM    59933.16858  19.99 r    0.32  1.74   0.19 
NTT/ULTRACAM    59933.16881  19.99 u    3.12  3.05   1.02 
NTT/ULTRACAM    59933.16881  19.99 g    0.06  1.17   0.05 
NTT/ULTRACAM    59933.16881  19.99 r    2.18  1.63   1.34 
NTT/ULTRACAM    59933.16904  19.99 u   -1.04  2.89  -0.36 
NTT/ULTRACAM    59933.16904  19.99 g    0.25  1.10   0.22 
NTT/ULTRACAM    59933.16904  19.99 r   -0.34  1.57  -0.22 
NTT/ULTRACAM    59933.16927  19.99 u   -9.20  3.40  -2.71 
NTT/ULTRACAM    59933.16927  19.99 g    1.19  1.36   0.88 
NTT/ULTRACAM    59933.16927  19.99 r    2.05  1.66   1.23 
NTT/ULTRACAM    59933.16950  19.99 u    7.99  3.71   2.15 
NTT/ULTRACAM    59933.16950  19.99 g    2.03  1.36   1.49 
NTT/ULTRACAM    59933.16950  19.99 r   -1.73  1.72  -1.01 
NTT/ULTRACAM    59933.16974  19.99 u    5.57  3.11   1.79 
NTT/ULTRACAM    59933.16974  19.99 g    0.49  1.16   0.42 
NTT/ULTRACAM    59933.16974  19.99 r    2.00  1.47   1.36 
NTT/ULTRACAM    59933.16997  19.99 u    2.64  2.67   0.99 
NTT/ULTRACAM    59933.16997  19.99 g    0.69  1.03   0.67 
NTT/ULTRACAM    59933.16997  19.99 r    0.33  1.41   0.23 
NTT/ULTRACAM    59933.17020  19.99 u   -1.55  2.94  -0.53 
NTT/ULTRACAM    59933.17020  19.99 g    0.57  1.08   0.53 
NTT/ULTRACAM    59933.17020  19.99 r    1.30  1.52   0.86 
NTT/ULTRACAM    59933.17043  19.99 u    5.95  3.15   1.89 
NTT/ULTRACAM    59933.17043  19.99 g    0.95  1.03   0.92 
NTT/ULTRACAM    59933.17043  19.99 r   -1.46  1.45  -1.01 
NTT/ULTRACAM    59933.17066  19.99 u   -1.03  2.73  -0.38 
NTT/ULTRACAM    59933.17066  19.99 g    1.05  1.04   1.01 
NTT/ULTRACAM    59933.17066  19.99 r    1.53  1.37   1.12 
NTT/ULTRACAM    59933.17089  19.99 u   -2.25  3.17  -0.71 
NTT/ULTRACAM    59933.17089  19.99 g   -0.96  1.11  -0.86 
NTT/ULTRACAM    59933.17089  19.99 r   -2.58  1.47  -1.76 
NTT/ULTRACAM    59933.17112  19.99 u    3.98  3.62   1.10 
NTT/ULTRACAM    59933.17112  19.99 g   -2.35  1.41  -1.67 
NTT/ULTRACAM    59933.17112  19.99 r   -0.55  1.67  -0.33 
NTT/ULTRACAM    59933.17136  19.99 g    0.55  1.14   0.48 
NTT/ULTRACAM    59933.17136  19.99 r    1.65  1.40   1.18 
NTT/ULTRACAM    59933.17159  19.99 u   -2.29  3.34  -0.69 
NTT/ULTRACAM    59933.17159  19.99 g    0.31  1.10   0.28 
NTT/ULTRACAM    59933.17159  19.99 r    2.43  1.64   1.48 
NTT/ULTRACAM    59933.17182  19.99 g    0.72  1.49   0.48 
NTT/ULTRACAM    59933.17182  19.99 r    0.33  1.83   0.18 
NTT/ULTRACAM    59933.17205  19.99 g    0.85  1.16   0.74 
NTT/ULTRACAM    59933.17228  19.99 g   -0.89  1.35  -0.66 
NTT/ULTRACAM    59933.17228  19.99 r   -0.61  1.80  -0.34 
NTT/ULTRACAM    59933.17251  19.99 u   -3.59  4.92  -0.73 
NTT/ULTRACAM    59933.17251  19.99 g   -1.56  1.89  -0.83 
NTT/ULTRACAM    59933.17251  19.99 r    0.73  2.30   0.32 
NTT/ULTRACAM    59933.17275  19.99 u    5.79  4.01   1.44 
NTT/ULTRACAM    59933.17275  19.99 g   -0.91  1.53  -0.60 
NTT/ULTRACAM    59933.17275  19.99 r    0.20  1.95   0.10 
NTT/ULTRACAM    59933.17298  19.99 g    3.51  1.49   2.36 
NTT/ULTRACAM    59933.17298  19.99 r   -2.51  2.11  -1.19 
NTT/ULTRACAM    59933.17321  19.99 u   -4.05  4.35  -0.93 
NTT/ULTRACAM    59933.17321  19.99 g   -0.04  1.52  -0.02 
NTT/ULTRACAM    59933.17321  19.99 r    0.64  1.77   0.36 
NTT/ULTRACAM    59933.17344  19.99 u   -1.23  2.86  -0.43 
NTT/ULTRACAM    59933.17344  19.99 g    0.19  1.21   0.15 
NTT/ULTRACAM    59933.17344  19.99 r    0.31  1.55   0.20 
NTT/ULTRACAM    59933.17367  19.99 g   -1.05  1.10  -0.95 
NTT/ULTRACAM    59933.17367  19.99 r    3.83  1.50   2.55 
NTT/ULTRACAM    59933.17390  19.99 g    1.38  1.13   1.22 
NTT/ULTRACAM    59933.17390  19.99 r   -0.12  1.49  -0.08 
NTT/ULTRACAM    59933.17414  19.99 u    0.00  2.90   0.00 
NTT/ULTRACAM    59933.17414  19.99 g   -0.27  1.04  -0.26 
NTT/ULTRACAM    59933.17414  19.99 r    0.89  1.45   0.61 
NTT/ULTRACAM    59933.17437  19.99 u    6.05  2.58   2.34 
NTT/ULTRACAM    59933.17437  19.99 g   -0.73  1.04  -0.70 
NTT/ULTRACAM    59933.17437  19.99 r   -0.22  1.42  -0.15 
NTT/ULTRACAM    59933.17460  19.99 u    1.70  2.66   0.64 
NTT/ULTRACAM    59933.17460  19.99 g   -0.12  1.01  -0.12 
NTT/ULTRACAM    59933.17460  19.99 r    1.73  1.53   1.13 
NTT/ULTRACAM    59933.17483  19.99 g    1.47  1.13   1.30 
NTT/ULTRACAM    59933.17483  19.99 r    3.11  1.54   2.02 
NTT/ULTRACAM    59933.17506  19.99 u    1.67  2.79   0.60 
NTT/ULTRACAM    59933.17506  19.99 g    1.19  0.97   1.22 
NTT/ULTRACAM    59933.17506  19.99 r    0.34  1.31   0.26 
NTT/ULTRACAM    59933.17529  19.99 u    4.35  2.67   1.63 
NTT/ULTRACAM    59933.17529  19.99 g   -1.21  0.94  -1.29 
NTT/ULTRACAM    59933.17529  19.99 r    1.20  1.24   0.97 
NTT/ULTRACAM    59933.17552  19.99 u    1.76  2.81   0.63 
NTT/ULTRACAM    59933.17552  19.99 g    0.18  0.99   0.18 
NTT/ULTRACAM    59933.17552  19.99 r   -0.35  1.37  -0.26 
NTT/ULTRACAM    59933.17576  19.99 u    3.54  2.58   1.37 
NTT/ULTRACAM    59933.17576  19.99 g   -0.15  1.01  -0.15 
NTT/ULTRACAM    59933.17576  19.99 r    0.21  1.41   0.15 
NTT/ULTRACAM    59933.17599  19.99 u   -0.59  2.54  -0.23 
NTT/ULTRACAM    59933.17599  19.99 g    0.63  0.97   0.64 
NTT/ULTRACAM    59933.17599  19.99 r   -0.18  1.37  -0.13 
NTT/ULTRACAM    59933.17622  19.99 u    0.84  2.62   0.32 
NTT/ULTRACAM    59933.17622  19.99 g    0.22  1.01   0.21 
NTT/ULTRACAM    59933.17622  19.99 r   -0.55  1.30  -0.42 
NTT/ULTRACAM    59933.17645  19.99 u    1.78  2.30   0.77 
NTT/ULTRACAM    59933.17645  19.99 g    0.44  0.98   0.45 
NTT/ULTRACAM    59933.17645  19.99 r    1.03  1.33   0.77 
NTT/ULTRACAM    59933.17668  19.99 u    2.26  2.69   0.84 
NTT/ULTRACAM    59933.17668  19.99 g    0.91  1.00   0.91 
NTT/ULTRACAM    59933.17668  19.99 r   -0.23  1.45  -0.16 
NTT/ULTRACAM    59933.17691  19.99 u    1.18  2.67   0.44 
NTT/ULTRACAM    59933.17691  19.99 g    0.33  0.97   0.34 
NTT/ULTRACAM    59933.17691  19.99 r   -1.80  1.40  -1.29 
NTT/ULTRACAM    59933.17715  19.99 u    4.62  2.60   1.78 
NTT/ULTRACAM    59933.17715  19.99 g   -0.16  0.94  -0.17 
NTT/ULTRACAM    59933.17715  19.99 r   -1.25  1.37  -0.91 
NTT/ULTRACAM    59933.17738  19.99 u   -0.18  2.74  -0.07 
NTT/ULTRACAM    59933.17738  19.99 g   -2.24  0.98  -2.30 
NTT/ULTRACAM    59933.17738  19.99 r   -0.00  1.33  -0.00 
NTT/ULTRACAM    59933.17761  19.99 u    3.71  3.01   1.23 
NTT/ULTRACAM    59933.17761  19.99 g   -0.27  1.02  -0.26 
NTT/ULTRACAM    59933.17761  19.99 r    1.96  1.41   1.39 
NTT/ULTRACAM    59933.17784  19.99 g    1.14  1.23   0.93 
NTT/ULTRACAM    59933.17784  19.99 r    3.28  1.74   1.89 
NTT/ULTRACAM    59933.17807  19.99 g   -0.72  1.30  -0.55 
NTT/ULTRACAM    59933.17807  19.99 r    3.46  1.76   1.97 
NTT/ULTRACAM    59933.17830  19.99 u    1.50  3.54   0.42 
NTT/ULTRACAM    59933.17830  19.99 g    0.76  1.24   0.61 
NTT/ULTRACAM    59933.17830  19.99 r   -1.43  1.64  -0.87 
NTT/ULTRACAM    59933.17854  19.99 g   -0.80  1.13  -0.71 
NTT/ULTRACAM    59933.17854  19.99 r    0.50  1.51   0.33 
NTT/ULTRACAM    59933.17877  19.99 u   -1.86  2.98  -0.62 
NTT/ULTRACAM    59933.17877  19.99 g    0.49  1.27   0.38 
NTT/ULTRACAM    59933.17877  19.99 r   -0.35  1.58  -0.22 
NTT/ULTRACAM    59933.17900  19.99 g   -0.45  1.20  -0.38 
NTT/ULTRACAM    59933.17900  19.99 r   -0.86  1.68  -0.51 
NTT/ULTRACAM    59933.17923  19.99 u    4.56  3.49   1.31 
NTT/ULTRACAM    59933.17923  19.99 g    1.23  1.29   0.95 
NTT/ULTRACAM    59933.17923  19.99 r    0.05  1.74   0.03 
NTT/ULTRACAM    59933.17946  19.99 g    1.83  1.23   1.49 
NTT/ULTRACAM    59933.17946  19.99 r    1.77  1.73   1.02 
NTT/ULTRACAM    59933.17969  19.99 u   -2.58  3.29  -0.78 
NTT/ULTRACAM    59933.17969  19.99 g    0.98  1.20   0.81 
NTT/ULTRACAM    59933.17969  19.99 r    3.47  1.55   2.24 
NTT/ULTRACAM    59933.17992  19.99 u   -0.52  3.02  -0.17 
