###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57712.558270  19.035  0.440    88   39 o  0   1.11  74.64332  -8.30110  3684.90  5298.22 4.01 3.85  82.4 -0.387 18.36 19.51 02a57712o0285o
57712.571932 -19.082  1.048   -84   89 o  0   1.38  74.64332  -8.30110  3649.76  5356.79 3.75 3.69 -89.7 -0.405 17.24 18.41 02a57712o0311o
57716.503463  19.169  0.683    78   53 c  0   1.08  74.64332  -8.30110  1087.39  3670.75 4.38 4.21  69.9 -0.367 18.19 20.16 02a57716o0620c
57716.521984  20.147  1.024    32   32 c  0   0.85  74.64332  -8.30110  1070.54  3630.81 4.54 4.41  55.4 -0.355 18.84 20.88 02a57716o0656c
57716.527616  20.978  2.600    15   38 c  0   1.03  74.64332  -8.30110  1129.64  3709.50 4.47 4.24  11.6 -0.357 18.47 20.42 02a57716o0667c
57716.544612  20.622  2.050    20   42 c  0   0.99  74.64332  -8.30110  1151.93  3591.39 4.41 4.22   8.3 -0.367 18.38 20.25 02a57716o0700c
57716.561103  19.895  0.880    40   35 c  0   0.90  74.64332  -8.30110  1116.38  3647.46 4.80 4.49   5.9 -0.347 18.67 20.60 02a57716o0730c
57736.442592  20.712  3.148    19   59 o  0   1.31  74.64332  -8.30110  2903.59  2101.47 3.64 3.59 -76.3 -0.434 18.09 18.48 02a57736o0488o
57736.457497  19.724  1.279    47   60 o  0   1.07  74.64332  -8.30110  2882.71  2063.56 3.61 3.57 -76.1 -0.434 18.09 18.46 02a57736o0514o
57736.472675  20.147  1.859    32   59 o  0   1.36  74.64332  -8.30110  2939.75  2143.40 3.65 3.55 -81.2 -0.435 18.05 18.43 02a57736o0539o
57736.487449  19.481  1.030    59   60 o  0   1.06  74.64332  -8.30110  2959.38  2024.86 3.65 3.57 -70.8 -0.437 18.04 18.40 02a57736o0564o
57736.500372  21.151  4.944    13   62 o  0   1.03  74.64332  -8.30110  2920.49  2081.27 3.64 3.53 -80.2 -0.433 18.03 18.36 02a57736o0587o
57743.457100 -21.492  2.619    -9   24 o  0   0.87  74.64332  -8.30110  1970.80  2426.46 4.20 4.05  88.8 -0.396 19.18 20.85 02a57743o0532o
57743.470062 -20.510  1.051   -23   24 o  0   0.73  74.64332  -8.30110  1952.63  2387.10 3.89 3.73  87.0 -0.415 19.21 20.74 02a57743o0557o
57743.483005  19.708  0.531    48   25 o  0   1.02  74.64332  -8.30110  2011.19  2464.76 4.42 4.27  87.1 -0.385 19.02 20.74 02a57743o0582o
57743.495389 -21.770  3.688    -7   26 o  0   0.76  74.64332  -8.30110  2033.45  2345.71 4.22 4.08  -1.8 -0.389 19.04 20.64 02a57743o0606o
57743.507791 -19.654  0.528   -50   26 o  0   0.91  74.64332  -8.30110  1997.65  2402.06 4.43 4.03   0.4 -0.380 18.96 20.55 02a57743o0630o
57752.412028  17.760  0.825   286  236 c  0   0.96  74.64332  -8.30110  1600.17  3410.73 3.89 3.77  87.0 -0.396 16.63 18.33 02a57752o0393c
57752.428473 -19.107  0.657   -83   54 c  0   1.26  74.64332  -8.30110  1583.89  3371.97 3.88 3.78 -85.4 -0.392 18.16 19.94 02a57752o0426c
