###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57998.599777  21.630  1.034     8    8 o  0   1.33  74.64332  -8.30110  5867.09  2477.75 2.03 2.00  56.1 -0.447 19.59 20.73 02a57998o0689o
57998.607511  21.279  0.901    11   10 o  0   1.34  74.64332  -8.30110  5844.51  2596.53 2.22 2.14  60.0 -0.461 19.56 20.83 02a57998o0704o
58000.521301 -18.516  0.394  -142   56 o  0   1.11  74.64332  -8.30110  3795.99  8994.17 4.41 4.06 -80.2 -0.411 18.03 19.28 01a58000o0617o
58000.527505 -20.512  2.520   -23   57 o  0   0.99  74.64332  -8.30110  3775.67  8948.17 4.63 4.30 -76.7 -0.405 18.02 19.34 01a58000o0630o
58000.535751  19.142  0.664    80   53 o  0   1.07  74.64332  -8.30110  3830.83  9014.31 5.13 4.89 -67.7 -0.348 17.92 19.44 01a58000o0643o
58000.540968 -19.763  0.959   -45   43 o  0   0.98  74.64332  -8.30110  3845.98  8889.49 4.18 3.98 -86.5 -0.414 18.20 19.49 01a58000o0654o
58001.614068  20.603  0.808    21   17 o  0   1.25  74.64332  -8.30110  7408.35   834.33 2.37 2.19  55.8 -0.452 19.01 19.68 02a58001o0789o
58001.622486  21.019  1.173    14   17 o  0   0.98  74.64332  -8.30110  7426.44   874.84 2.30 2.15  52.5 -0.449 19.07 19.76 02a58001o0807o
58001.631436 -20.316  0.654   -27   18 o  0   1.06  74.64332  -8.30110  7369.86   798.64 2.31 2.17  59.0 -0.433 19.05 19.74 02a58001o0826o
58001.639861  20.567  1.576    22   34 o  0   1.00  74.64332  -8.30110  7348.60   917.48 2.43 2.35  63.9 -0.424 18.31 18.74 02a58001o0844o
58002.542678  20.353  0.964    26   25 o  0   1.26  74.64332  -8.30110  7329.48  3331.86 2.10 2.09 -29.5 -0.463 18.56 18.87 02a58002o0604o
58002.551226 -19.873  0.622   -41   25 o  0   1.18  74.64332  -8.30110  7348.78  3372.24 2.10 2.05 -85.8 -0.458 18.58 18.94 02a58002o0618o
58002.560447  20.676  1.229    20   24 o  0   1.10  74.64332  -8.30110  7293.74  3296.24 2.08 2.04 -66.1 -0.470 18.66 19.00 02a58002o0632o
58002.567667 -20.849  1.147   -17   19 o  0   1.37  74.64332  -8.30110  7275.08  3414.05 2.08 2.02 -43.8 -0.501 18.69 19.04 02a58002o0647o
58004.560756  20.013  0.692    36   25 o  0   1.51  74.64332  -8.30110  3919.36  9466.06 3.31 3.03 -79.9 -0.447 18.44 19.43 01a58004o0107o
58004.567683  20.774  1.512    18   27 o  0   1.12  74.64332  -8.30110  3897.12  9410.41 3.13 2.92 -72.1 -0.462 18.58 19.49 01a58004o0122o
58004.574575  20.673  1.266    20   25 o  0   1.25  74.64332  -8.30110  3953.06  9471.22 3.17 2.90 -79.8 -0.459 18.59 19.54 01a58004o0137o
58004.581479 -21.661  3.385    -8   27 o  0   0.91  74.64332  -8.30110  3971.29  9336.09 3.17 2.82 -79.7 -0.462 18.62 19.60 01a58004o0152o
58008.553474 -21.500  2.415    -9   22 o  0   1.14  74.64332  -8.30110  2736.53  8933.41 3.40 2.96 -84.4 -0.433 18.78 19.95 01a58008o0247o
58008.560118 -21.215  1.907   -12   23 o  0   1.17  74.64332  -8.30110  2714.30  8877.95 3.36 2.98 -85.5 -0.431 18.84 19.97 01a58008o0261o
58008.567227 -20.653  1.135   -20   23 o  0   1.20  74.64332  -8.30110  2769.67  8937.13 3.40 2.98 -84.2 -0.436 18.83 20.00 01a58008o0276o
58008.573890  21.667  2.622     8   20 o  0   1.00  74.64332  -8.30110  2789.70  8802.46 3.31 2.90 -85.9 -0.438 18.89 20.04 01a58008o0290o
58010.550674 -21.114  0.930   -13   12 o  0   0.65  74.64332  -8.30110  7778.66  2112.11 2.06 1.91  55.2 -0.457 19.49 20.34 02a58010o0677o
58010.557476 -20.979  0.758   -15   11 o  0   1.32  74.64332  -8.30110  7796.70  2152.41 2.10 1.92  58.6 -0.456 19.45 20.36 02a58010o0691o
58010.564636  20.636  0.599    20   12 o  0   0.95  74.64332  -8.30110  7739.16  2076.77 2.08 1.91  58.9 -0.462 19.49 20.37 02a58010o0706o
58010.571260 -21.340  1.121   -11   12 o  0   0.97  74.64332  -8.30110  7714.87  2195.69 2.05 1.90  58.0 -0.463 19.51 20.38 02a58010o0720o
58012.541211 -20.525  0.798   -22   18 o  0   0.79  74.64332  -8.30110  3951.82  8528.06 3.18 2.81 -81.4 -0.449 19.07 20.51 01a58012o0678o
58012.547925 -22.806  4.583    -3   13 o  0   1.87  74.64332  -8.30110  3932.86  8489.71 3.36 3.09 -73.9 -0.426 19.13 20.68 01a58012o0692o
58012.554969  21.871  2.167     6   14 o  0   1.23  74.64332  -8.30110  3992.60  8568.56 3.33 2.92 -79.6 -0.438 19.16 20.70 01a58012o0707o
58012.561484  22.080  2.179     5   12 o  0   1.39  74.64332  -8.30110  4012.59  8452.15 3.13 2.72 -78.3 -0.456 19.21 20.71 01a58012o0721o
58016.534377  19.009  0.221    90   20 o  0  36.53  74.64332  -8.30110  2700.42  7874.06 3.85 3.46 -82.7 -0.408 18.86 20.41 01a58016o0372o
58016.541084 -22.910  6.727    -2   17 o  0   1.09  74.64332  -8.30110  2682.22  7835.28 3.44 3.00 -85.9 -0.424 19.04 20.45 01a58016o0386o
58016.548289 -21.865  2.393    -6   16 o  0   1.03  74.64332  -8.30110  2740.53  7913.58 3.41 3.11 -83.8 -0.424 19.04 20.50 01a58016o0401o
58016.554863  22.598  4.714     3   16 o  0   1.28  74.64332  -8.30110  2759.60  7797.95 3.49 3.13 -85.5 -0.419 19.03 20.55 01a58016o0415o
58018.538903 -21.591  1.091    -8    9 c  0   1.16  74.64332  -8.30110  9288.30  3519.93 2.82 2.65 -46.8 -0.392 19.64 21.41 02a58018o0377c
58018.545756 -21.303  0.875   -11   10 c  0   1.17  74.64332  -8.30110  9307.09  3561.32 2.82 2.66 -49.1 -0.390 19.64 21.43 02a58018o0391c
58018.552867  22.580  3.091     3   10 c  0   1.25  74.64332  -8.30110  9248.30  3484.92 2.84 2.67 -41.7 -0.391 19.65 21.46 02a58018o0406c
58018.559466 -21.565  1.050    -9    9 c  0   0.98  74.64332  -8.30110  9227.81  3604.25 2.76 2.58 -44.3 -0.397 19.67 21.49 02a58018o0420c
58022.524866 -23.300  5.056    -2    9 o  0   1.26  74.64332  -8.30110  5612.19  2008.56 2.11 1.99 -60.7 -0.447 19.57 20.60 02a58022o0641o
58022.531595 -21.083  0.767   -13   10 o  0   1.00  74.64332  -8.30110  5629.81  2049.55 2.17 2.09 -73.3 -0.448 19.54 20.63 02a58022o0655o
58022.537732  21.043  0.724    14   10 o  0   1.08  74.64332  -8.30110  5570.91  1973.19 2.18 2.07 -61.2 -0.452 19.53 20.58 02a58022o0668o
58022.544346  21.201  0.705    12    8 o  0   1.64  74.64332  -8.30110  5549.85  2091.77 2.14 2.00 -58.1 -0.453 19.55 20.57 02a58022o0682o
58024.527444  20.242  0.692    29   20 o  0   0.93  74.64332  -8.30110  9511.91   853.26 3.65 3.39 -58.1 -0.422 19.08 20.49 01a58024o0682o
58024.534566 -21.703  2.308    -8   18 o  0   1.35  74.64332  -8.30110  9488.88   793.84 3.74 3.58 -31.0 -0.417 19.02 20.52 01a58024o0697o
58024.541661 -20.784  1.043   -18   18 o  0   1.10  74.64332  -8.30110  9543.54   850.52 3.54 3.31 -66.1 -0.424 19.11 20.55 01a58024o0712o
58024.546803  21.204  1.440    12   17 o  0   1.02  74.64332  -8.30110  2122.61 10462.53 3.37 3.13 -19.1 -0.451 19.07 20.54 01a58024o0723o
58024.548696  20.369  0.734    26   19 o  0   0.86  74.64332  -8.30110  9562.98   711.66 3.56 2.99 -83.0 -0.443 19.15 20.55 01a58024o0727o
58026.528254 -21.142  0.721   -13    9 o  0   0.97  74.64332  -8.30110  6396.90  2111.16 2.13 2.03  46.9 -0.439 19.59 20.80 02a58026o0624o
58026.535517 -22.226  1.980    -5    9 o  0   1.07  74.64332  -8.30110  6414.39  2152.18 2.06 1.97  52.7 -0.450 19.66 20.82 02a58026o0639o
58026.543145  21.254  0.748    11    9 o  0   1.43  74.64332  -8.30110  6355.52  2076.94 2.05 1.99  64.8 -0.451 19.64 20.77 02a58026o0654o
58026.550280  25.772 39.500     0    7 o  0   1.69  74.64332  -8.30110  6333.56  2195.49 1.99 1.94  64.0 -0.456 19.67 20.81 02a58026o0669o
58028.517096 -21.429  1.588   -10   16 o  0   1.27  74.64332  -8.30110  5062.82  7191.51 3.06 2.75 -78.3 -0.453 19.02 20.14 01a58028o0603o
58028.524178 -20.155  0.534   -32   17 o  0   0.98  74.64332  -8.30110  5040.72  7132.26 3.17 3.07 -77.3 -0.420 18.97 20.18 01a58028o0618o
58028.531186  22.340  3.773     4   16 o  0   1.27  74.64332  -8.30110  5097.56  7189.12 3.05 2.82 -79.3 -0.444 19.10 20.28 01a58028o0633o
58028.538248  20.178  0.468    31   14 o  0   1.26  74.64332  -8.30110  5114.86  7052.10 2.98 2.69 -84.5 -0.464 19.16 20.35 01a58028o0648o
58031.492430 -20.701  2.651   -19   50 o  0   1.18  74.64332  -8.30110  2894.14  7336.40 3.23 3.10 -65.1 -0.434 18.31 18.99 01a58031o0624o
58031.500449  20.490  2.524    23   58 o  0   0.99  74.64332  -8.30110  2870.59  7276.80 3.83 3.28  -3.0 -0.433 18.21 19.02 01a58031o0641o
58031.508441  19.556  0.948    55   52 o  0   1.41  74.64332  -8.30110  2925.37  7332.93 3.81 3.49   4.2 -0.414 18.14 19.06 01a58031o0658o
58031.516447  19.875  1.163    41   47 o  0   1.06  74.64332  -8.30110  2941.72  7193.78 3.53 3.32 -80.4 -0.430 18.27 19.11 01a58031o0675o
58032.514620  21.247  2.800    12   32 o  0   1.06  74.64332  -8.30110  3061.26   644.72 3.80 3.23  -6.2 -0.381 18.35 19.16 01a58032o0668o
58032.520609 -20.464  1.267   -24   30 o  0   0.85  74.64332  -8.30110  5300.83 10322.53 3.12 2.97 -50.7 -0.435 18.40 19.16 01a58032o0680o
58032.523686  20.211  0.991    30   30 o  0   1.18  74.64332  -8.30110  3038.68   578.08 4.03 3.03  -0.3 -0.390 18.33 19.21 01a58032o0686o
58032.529700 -19.917  0.827   -39   32 o  0   0.85  74.64332  -8.30110  5278.89 10254.59 3.12 2.90 -60.5 -0.454 18.50 19.21 01a58032o0698o
58032.532269  21.256  2.625    11   30 o  0   1.06  74.64332  -8.30110  3093.85   628.65 3.71 3.06   1.1 -0.389 18.40 19.25 01a58032o0703o
58032.538504 -19.327  0.534   -68   36 o  0   0.96  74.64332  -8.30110  5334.23 10303.82 4.38 3.27  -5.1 -0.394 18.21 19.23 01a58032o0715o
58032.541329  21.476  3.116     9   29 o  0   1.27  74.64332  -8.30110  3108.45   480.94 3.31 3.10   9.4 -0.401 18.44 19.27 01a58032o0721o
58032.547816 -24.107 36.500    -1   30 o  0   1.15  74.64332  -8.30110  5350.76 10154.44 3.26 2.89 -82.4 -0.444 18.44 19.27 01a58032o0733o
58033.468698 -19.818  0.989   -43   42 o  0   0.88  74.64332  -8.30110  1687.35   137.46 3.58 3.02  72.7 -0.445 18.31 18.96 01a58033o0505o
58033.472468 -21.002  2.483   -14   36 o  0   1.16  74.64332  -8.30110  3919.23  9859.24 3.47 3.09 -88.5 -0.438 18.32 18.96 01a58033o0513o
58033.475345  19.885  1.213    40   49 o  0   0.79  74.64332  -8.30110  1663.53    83.42 3.42 2.99  71.3 -0.449 18.32 18.98 01a58033o0519o
58033.479096 -20.722  1.605   -19   30 o  0   1.52  74.64332  -8.30110  3896.64  9805.25 3.33 2.90 -82.8 -0.447 18.33 18.99 01a58033o0527o
58033.481449 -22.155  6.304    -5   31 o  0   1.42  74.64332  -8.30110  1719.94   148.56 3.34 2.87  74.3 -0.452 18.39 19.02 01a58033o0532o
58033.485169 -20.500  1.570   -23   36 o  0   1.02  74.64332  -8.30110  3952.31  9869.02 3.45 2.96 -87.7 -0.443 18.32 19.02 01a58033o0540o
58033.491673  20.346  1.109    26   29 o  0   1.10  74.64332  -8.30110  3969.62  9736.05 3.16 2.88 -84.5 -0.458 18.40 19.06 01a58033o0554o
58036.516837  21.290  1.734    11   19 o  0   1.33  74.64332  -8.30110  2078.33  9369.31 2.86 2.59 -80.2 -0.489 18.80 19.71 01a58036o0669o
58036.524129 -20.330  0.745   -27   20 o  0   1.15  74.64332  -8.30110  2057.01  9306.25 2.83 2.61 -78.3 -0.482 18.80 19.73 01a58036o0684o
58036.531374 -20.395  0.894   -25   23 o  0   0.92  74.64332  -8.30110  2113.41  9359.71 2.86 2.73 -76.6 -0.478 18.83 19.76 01a58036o0699o
58036.538558  22.299  5.037     4   22 o  0   1.06  74.64332  -8.30110  2132.14  9217.87 2.76 2.52 -86.1 -0.499 18.87 19.76 01a58036o0714o
58037.513241  24.643 38.333     0   19 o  0   1.09  74.64332  -8.30110  1732.25  8162.18 2.88 2.59 -83.7 -0.464 18.97 20.00 01a58037o0467o
58037.520533 -22.458  4.083    -4   15 o  0   0.99  74.64332  -8.30110  1710.90  8099.42 2.79 2.48 -81.3 -0.473 19.02 20.04 01a58037o0482o
58037.527797  22.435  4.240     4   16 o  0   1.44  74.64332  -8.30110  1766.65  8153.10 2.74 2.47 -79.5 -0.473 19.03 20.02 01a58037o0497o
58037.535010 -19.631  0.323   -51   16 o  0   1.24  74.64332  -8.30110  1784.41  8012.22 2.73 2.47 -86.9 -0.482 19.00 20.07 01a58037o0512o
58044.490289 -20.536  1.157   -22   26 o  0   0.98  74.64332  -8.30110  1396.03   901.13 2.97 2.85  58.3 -0.459 18.74 20.18 01a58044o0631o
58044.497529  22.073  2.440     5   13 o  0   1.37  74.64332  -8.30110  1373.20   838.97 3.11 2.93  39.8 -0.439 19.28 20.92 01a58044o0646o
58044.504757 -20.865  1.974   -16   32 o  0   1.19  74.64332  -8.30110  1430.22   894.22 2.87 2.83  51.6 -0.465 18.47 19.91 01a58044o0661o
58044.511967 -20.205  0.442   -30   13 o  0   1.26  74.64332  -8.30110  1446.05   752.80 2.94 2.80  64.0 -0.464 19.36 20.93 01a58044o0676o
58044.517749 -20.838  0.755   -17   13 o  0   1.45  74.64332  -8.30110  3655.62 10464.75 2.74 2.47 -71.1 -0.481 19.22 20.77 01a58044o0688o
58048.483827  21.364  1.596    10   16 o  0   0.90  74.64332  -8.30110   143.13   699.13 3.27 2.86  66.9 -0.501 19.27 20.81 01a58048o0621o
58048.489645 -25.862 81.000    -0   13 o  0   0.91  74.64332  -8.30110  2345.60 10412.33 2.83 2.53 -85.4 -0.475 19.28 20.80 01a58048o0633o
58048.491059 -22.012  2.880    -6   16 o  0   1.12  74.64332  -8.30110   120.60   635.71 3.29 3.00  64.5 -0.498 19.27 20.86 01a58048o0636o
58048.491517 -19.857  0.367   -41   15 o  0   1.00  74.64332  -8.30110  9785.00   658.00 3.39 2.85 -84.9 -0.446 19.36 20.78 01a58048o0637o
58048.496893 -20.602  0.658   -21   14 o  0   0.90  74.64332  -8.30110  2323.70 10349.01 2.93 2.75 -76.9 -0.449 19.26 20.86 01a58048o0648o
58048.498316 -18.782  0.148  -112   16 o  0   0.89  74.64332  -8.30110   177.60   690.90 3.34 2.86  72.2 -0.498 19.32 20.93 01a58048o0651o
58048.498777  23.128  7.429     2   15 o  0   1.12  74.64332  -8.30110  9762.31   594.56 3.76 3.56 -16.9 -0.407 19.17 20.89 01a58048o0652o
58048.504141 -20.668  0.732   -20   14 o  0   0.75  74.64332  -8.30110  2380.24 10401.87 2.98 2.61 -80.2 -0.464 19.32 20.90 01a58048o0663o
58048.505537  20.954  0.959    15   14 o  0   0.81  74.64332  -8.30110   193.70   547.90 3.26 2.64  75.6 -0.506 19.36 20.92 01a58048o0666o
58048.505996  22.265  3.316     4   15 o  0   1.27  74.64332  -8.30110  9819.20   646.47 3.56 3.00 -84.8 -0.440 19.28 20.88 01a58048o0667o
58048.511351 -22.491  3.773    -4   14 o  0   0.88  74.64332  -8.30110  2398.89 10258.20 2.94 2.48 -81.3 -0.474 19.35 20.86 01a58048o0678o
58048.513211 -21.098  1.102   -13   14 o  0   1.10  74.64332  -8.30110  9838.17   502.44 3.52 2.79 -85.2 -0.444 19.31 20.79 01a58048o0682o
58054.482548 -22.481  2.821    -4   10 o  0   1.14  74.64332  -8.30110  5767.26  2755.38 2.12 1.92 -48.7 -0.463 19.57 20.64 02a58054o0613o
58054.490487 -20.962  0.614   -15    9 o  0   1.36  74.64332  -8.30110  5785.04  2796.40 2.19 1.93 -43.2 -0.453 19.59 20.65 02a58054o0628o
58054.498001 -20.933  0.689   -15   11 o  0   0.83  74.64332  -8.30110  5727.03  2720.63 2.15 1.90 -44.8 -0.462 19.59 20.66 02a58054o0643o
58054.505512 -22.016  1.684    -6   10 o  0   1.07  74.64332  -8.30110  5705.34  2838.56 2.21 1.95 -46.9 -0.457 19.61 20.71 02a58054o0658o
58056.453414 -20.493  0.792   -23   18 o  0   1.16  74.64332  -8.30110  1525.84   674.43 3.32 2.85  75.9 -0.467 19.01 20.23 01a58056o0423o
58056.459167 -22.023  3.185    -6   18 o  0   1.00  74.64332  -8.30110  3735.92 10387.40 3.29 2.86 -80.8 -0.434 18.99 20.24 01a58056o0435o
58056.460708  21.918  3.357     6   21 o  0   0.98  74.64332  -8.30110  1502.46   613.06 3.40 2.86  77.5 -0.465 19.04 20.31 01a58056o0438o
58056.466550  22.166  3.435     5   17 o  0   1.03  74.64332  -8.30110  3713.56 10324.39 3.34 2.91 -78.0 -0.428 19.00 20.29 01a58056o0450o
58056.468150 -20.405  0.895   -25   22 o  0   1.25  74.64332  -8.30110  1559.60   667.85 3.92 3.25  73.7 -0.455 18.91 20.33 01a58056o0453o
58056.474063  20.838  1.229    17   21 o  0   0.82  74.64332  -8.30110  3770.52 10377.23 3.53 3.16 -83.9 -0.406 18.99 20.31 01a58056o0465o
58056.475468 -20.480  0.888   -23   21 o  0   1.00  74.64332  -8.30110  1575.51   525.84 3.59 3.29  67.4 -0.436 18.97 20.37 01a58056o0468o
58056.481223 -20.500  0.761   -23   17 o  0   0.99  74.64332  -8.30110  3808.10 10235.39 3.63 3.19 -84.0 -0.406 18.99 20.36 01a58056o0480o
58058.440487 -20.551  0.980   -22   21 o  0   0.98  74.64332  -8.30110  8552.13   608.51 2.37 1.92  62.2 -0.443 19.02 19.34 02a58058o0357o
58058.444261  22.402  5.421     4   22 o  0   0.78  74.64332  -8.30110  1033.46 10311.18 2.24 1.75  40.8 -0.493 19.08 19.44 02a58058o0365o
58058.447732 -20.967  1.162   -15   17 o  0   1.18  74.64332  -8.30110  8571.12   649.95 2.39 1.92  57.1 -0.455 19.06 19.41 02a58058o0372o
58058.451475  21.589  3.099     8   26 o  0   0.78  74.64332  -8.30110  1051.70 10352.00 2.38 1.75  42.0 -0.529 19.09 19.44 02a58058o0380o
58058.454836  22.508  6.059     4   22 o  0   0.90  74.64332  -8.30110  8512.16   573.85 2.34 1.93  59.2 -0.452 19.07 19.41 02a58058o0387o
58058.458555 -20.584  1.000   -21   21 o  0   1.45  74.64332  -8.30110   994.19 10274.42 2.21 1.77  41.2 -0.623 19.06 19.45 02a58058o0395o
58058.461915  20.374  0.749    26   19 o  0   1.08  74.64332  -8.30110  8489.57   691.74 2.21 1.91  61.3 -0.451 19.07 19.37 02a58058o0402o
58058.465674  20.385  0.938    26   24 o  0   1.09  74.64332  -8.30110   970.52 10393.94 2.50 1.82  40.6 -0.673 19.02 19.45 02a58058o0410o
58060.370405 -22.069  8.636    -5   47 o  0   1.22  74.64332  -8.30110  1350.12   214.65 3.55 2.87  82.7 -0.479 18.05 18.53 01a58060o0195o
58060.374115 -21.749  6.562    -7   48 o  0   0.89  74.64332  -8.30110  3565.72  9941.75 3.40 2.83 -78.0 -0.452 18.04 18.52 01a58060o0203o
58060.376446 -22.302 11.333    -4   49 o  0   0.92  74.64332  -8.30110  1328.13   165.41 3.48 2.88  82.0 -0.465 18.10 18.58 01a58060o0208o
58060.380163  20.437  1.554    24   38 o  0   1.17  74.64332  -8.30110  3544.54  9892.61 3.33 2.79 -77.2 -0.457 18.14 18.58 01a58060o0216o
58060.382479  20.140  1.291    32   41 o  0   1.13  74.64332  -8.30110  1384.99   234.99 3.45 2.88  80.9 -0.470 18.08 18.63 01a58060o0221o
58060.386201 -23.311 24.875    -2   43 o  0   0.83  74.64332  -8.30110  3600.26  9961.03 3.32 2.79 -77.2 -0.457 18.15 18.62 01a58060o0229o
58060.388516  20.782  2.747    18   48 o  0   0.95  74.64332  -8.30110  1399.22   105.89 3.43 2.74  81.1 -0.491 18.17 18.67 01a58060o0234o
58060.392189  21.261  3.569    11   41 o  0   1.11  74.64332  -8.30110  3616.68  9832.09 3.33 2.90 -78.5 -0.455 18.14 18.65 01a58060o0242o
58062.432077 -21.169  2.152   -12   27 o  0   1.67  74.64332  -8.30110  8602.83  2797.33 2.37 2.33  65.9 -0.450 18.42 18.50 02a58062o0450o
58062.440218 -20.107  0.895   -33   29 o  0   1.13  74.64332  -8.30110  8624.21  2837.87 2.44 2.37 -86.9 -0.427 18.40 18.52 02a58062o0464o
58062.448641 -20.268  1.083   -28   31 o  0   0.77  74.64332  -8.30110  8568.01  2760.50 2.38 2.30 -76.6 -0.452 18.42 18.55 02a58062o0479o
58062.455866 -20.439  1.150   -24   28 o  0   0.95  74.64332  -8.30110  8547.24  2879.12 2.25 2.23  83.6 -0.422 18.51 18.58 02a58062o0493o
58064.458870  22.225  6.000     5   28 o  0   0.92  74.64332  -8.30110  1517.83   702.52 3.26 2.92  71.1 -0.460 18.60 19.46 01a58064o0554o
58064.464614 -20.769  1.326   -18   24 o  0   1.21  74.64332  -8.30110  3728.49 10413.14 3.23 2.94 -81.5 -0.435 18.63 19.51 01a58064o0566o
58064.466972 -22.750  8.786    -3   25 o  0   1.10  74.64332  -8.30110  1495.37   635.06 3.25 2.86  75.4 -0.456 18.59 19.49 01a58064o0571o
58064.472781  20.241  1.007    29   29 o  0   0.72  74.64332  -8.30110  3707.95 10344.58 3.09 2.79 -77.3 -0.454 18.66 19.51 01a58064o0583o
58064.475138 -23.710 26.200    -1   31 o  0   0.95  74.64332  -8.30110  1553.21   685.18 3.39 3.10  29.6 -0.472 18.52 19.46 01a58064o0588o
58064.480943 -19.319  0.407   -68   28 o  0   1.00  74.64332  -8.30110  3784.29 10373.05 3.54 3.47 -18.7 -0.403 18.50 19.54 01a58064o0600o
58064.483310 -19.624  0.510   -51   26 o  0   0.84  74.64332  -8.30110  1569.54   535.79 3.25 2.91  67.5 -0.450 18.63 19.50 01a58064o0605o
58064.489145 -20.733  1.413   -18   26 o  0   0.93  74.64332  -8.30110  3802.29 10243.47 3.11 2.95 -87.1 -0.438 18.65 19.57 01a58064o0617o
58066.467536 -20.662  0.703   -20   14 o  0   0.76  74.64332  -8.30110  8795.03  3737.57 2.08 2.03 -74.4 -0.463 19.32 20.06 02a58066o0566o
58066.475570  22.628  4.176     3   14 o  0   0.88  74.64332  -8.30110  8812.02  3778.76 2.06 2.01 -57.7 -0.451 19.38 20.10 02a58066o0583o
58066.483629  23.368  8.688     2   14 o  0   0.88  74.64332  -8.30110  8753.99  3703.64 2.14 2.08 -74.6 -0.454 19.32 20.11 02a58066o0600o
58066.491914  21.345  1.074    10   11 o  0   1.46  74.64332  -8.30110  8732.27  3822.23 2.08 2.05 -54.0 -0.449 19.35 20.11 02a58066o0617o
58068.459907 -20.636  0.789   -20   16 o  0   0.83  74.64332  -8.30110  4233.73  6975.99 3.08 2.98 -45.6 -0.427 19.05 20.53 01a58068o0584o
58068.467041  20.580  0.786    21   17 o  0   1.38  74.64332  -8.30110  4212.93  6911.70 3.11 3.04 -29.2 -0.424 18.84 20.20 01a58068o0599o
58068.474247 -20.163  0.614   -31   19 o  0   0.96  74.64332  -8.30110  4269.80  6962.73 3.03 2.84 -83.4 -0.440 18.94 20.27 01a58068o0614o
58068.481506  21.960  2.875     6   17 o  0   1.12  74.64332  -8.30110  4288.21  6819.97 3.29 3.07  88.4 -0.416 19.01 20.51 01a58068o0629o
58070.456157 -22.045  1.455    -6    8 o  0   1.04  74.64332  -8.30110  6811.18  1337.59 2.26 1.92  47.7 -0.459 19.79 21.22 02a58070o0554o
58070.464044  22.316  1.884     4    8 o  0   1.65  74.64332  -8.30110  6828.44  1379.15 2.25 1.94  48.3 -0.452 19.77 21.20 02a58070o0569o
58070.471371  21.365  0.934    10   10 o  0   0.71  74.64332  -8.30110  6769.83  1302.16 2.23 1.89  49.2 -0.465 19.77 21.17 02a58070o0584o
58070.479142 -21.546  0.892    -9    8 o  0   1.67  74.64332  -8.30110  6748.09  1421.56 2.18 1.87  50.5 -0.463 19.79 21.17 02a58070o0599o
58072.444943 -20.833  0.798   -17   13 o  0   0.86  74.64332  -8.30110  2123.46   914.66 3.15 2.89  65.3 -0.441 19.38 21.12 01a58072o0552o
58072.452971  20.524  0.568    22   13 o  0   1.11  74.64332  -8.30110  2099.13   847.47 3.20 2.86  73.4 -0.447 19.37 21.14 01a58072o0569o
58072.461040 -19.995  0.321   -36   12 o  0   1.08  74.64332  -8.30110  2155.90   897.42 3.04 2.79  70.3 -0.453 19.41 21.13 01a58072o0586o
58072.469173  22.342  2.955     4   12 o  0   0.90  74.64332  -8.30110  2172.81   749.52 3.07 2.81  63.3 -0.449 19.40 21.13 01a58072o0603o
58072.474966 -21.418  1.214   -10   12 o  0   1.11  74.64332  -8.30110  4400.26 10430.10 2.91 2.65  88.9 -0.463 19.41 21.04 01a58072o0615o
58074.459093  23.253  4.385     2    8 c  0   1.13  74.64332  -8.30110  8312.24  2712.99 2.85 2.39  56.6 -0.416 19.70 21.55 02a58074o0452c
58074.468161  21.278  0.822    11    9 c  0   0.98  74.64332  -8.30110  8329.24  2754.71 2.94 2.51  57.4 -0.419 19.70 21.53 02a58074o0469c
58074.476675 -23.866 10.000    -1   10 c  0   1.25  74.64332  -8.30110  8269.70  2679.57 3.22 2.66  59.6 -0.404 19.64 21.54 02a58074o0486c
58074.486171 -21.153  0.646   -13    8 c  0   1.43  74.64332  -8.30110  8253.56  2795.60 2.95 2.53  59.7 -0.418 19.66 21.54 02a58074o0503c
58076.444989  17.305  0.864   434  375 o  0   0.91  74.64332  -8.30110  4064.35  7071.68 4.08 3.17  -3.5 -0.432 15.76 17.27 01a58076o0474o
58076.461524  12.912  0.376 24846 9335 o  0   1.10  74.64332  -8.30110  4098.02  7049.51 2.72 2.60 -82.2 -0.407 16.40 18.63 01a58076o0508o
58078.449496  20.651  0.368    20    7 c  0   1.34  74.64332  -8.30110  7585.23  2458.37 2.58 2.41  45.2 -0.439 19.83 21.73 02a58078o0550c
58078.458581 -22.082  1.200    -5    6 c  0   1.40  74.64332  -8.30110  7601.45  2499.92 2.62 2.43  56.2 -0.446 19.81 21.73 02a58078o0567c
58078.476247 -22.244  1.600    -5    7 c  0   1.13  74.64332  -8.30110  7523.51  2539.21 2.65 2.40  58.8 -0.443 19.81 21.78 02a58078o0601c
58080.433699 -21.895  2.074    -6   13 o  0   1.23  74.64332  -8.30110  1544.47  9785.63 3.38 3.23  69.9 -0.416 19.25 21.10 01a58080o0510o
58080.435945  17.361  0.753   413  311 o  0   0.18  74.64332  -8.30110  8979.40    34.57 3.73 3.18  81.0 -0.460 19.25 21.04 01a58080o0514o
58080.442515 -22.035  2.148    -6   12 o  0   1.23  74.64332  -8.30110  1522.34  9714.42 3.37 2.77 -86.7 -0.452 19.33 21.09 01a58080o0527o
58080.450912 -22.690  4.333    -3   13 o  0   0.96  74.64332  -8.30110  1580.01  9761.07 3.34 2.74  85.2 -0.449 19.39 21.16 01a58080o0544o
