#mjd,cal_psf_mag,psf_inst_mag_sig,psf_inst_flux,psf_inst_flux_sig,filter,exptime,zero_pt,fpa_id,ujy,dujy,pscamera
57305.57516,23.9682,0.793007,244.848,194.167,w,45,25.8074,1249858,0.93913,0.74474,GPC1
57305.58717,None,2.2691,-133.599,303.149,w,45,25.8293,1249878,-0.50219,1.13952,GPC1
57305.59915,24.2544,1.53047,192.323,294.346,w,45,25.8315,1249907,0.72147,1.10419,GPC1
57305.61114,None,1.57698,-203.373,320.716,w,45,25.8247,1249942,-0.76772,1.21068,GPC1
57333.35679,25.7173,9.20703,49.2735,453.662,w,45,25.8158,1275325,0.18753,1.72663,GPC1
57333.36823,None,3.62721,-94.2379,341.82,w,45,25.8333,1275350,-0.35293,1.28016,GPC1
57333.37974,None,0.858859,-490.036,420.872,w,45,25.8426,1275386,-1.8196,1.56278,GPC1
57333.39113,24.7837,4.97837,122.753,611.112,w,45,25.8732,1275416,0.44314,2.20612,GPC1
57334.34914,None,1.26292,-898.297,1134.47,w,45,25.8653,1276022,-3.26654,4.12535,GPC1
57334.36192,None,1.52855,-533.958,816.18,w,45,25.8558,1276036,-1.95873,2.99401,GPC1
57334.37435,None,0.610001,-1403.55,856.165,w,45,25.8613,1276074,-5.12266,3.12482,GPC1
57334.38693,None,0.935965,-906.618,848.563,w,45,25.8715,1276090,-3.27802,3.06811,GPC1
57341.4054,None,8.24089,-204.69,1686.82,w,45,25.8883,1276715,-0.72873,6.00532,GPC1
57341.41752,None,12.5711,-141.346,1776.87,w,45,25.8904,1276734,-0.50224,6.31369,GPC1
57358.30809,None,1.29027,-269.867,348.202,w,45,25.8383,1282689,-1.00604,1.29807,GPC1
57358.32072,24.5016,2.06317,151.082,311.707,w,45,25.8166,1282707,0.57459,1.18548,GPC1
57358.3334,None,0.762341,-293.027,223.386,w,45,25.8117,1282739,-1.11948,0.85342,GPC1
57358.34623,24.282,1.77925,188.625,335.611,w,45,25.838,1282761,0.70337,1.25148,GPC1
57359.311,None,2.13274,-117.305,250.181,w,45,25.8355,1283709,-0.43843,0.93507,GPC1
57359.32199,24.5468,2.57888,151.886,391.696,w,45,25.8675,1283726,0.55119,1.42147,GPC1
57359.33298,None,0.561634,-392.229,220.289,w,45,25.8293,1283765,-1.47437,0.82806,GPC1
57359.34404,None,0.652115,-292.277,190.598,w,45,25.8176,1283782,-1.11056,0.72421,GPC1
57400.33021,None,4.92511,-56.6582,279.048,w,45,25.8452,1310703,-0.20988,1.03368,GPC1
57400.34163,None,1.47584,-324.075,478.284,w,45,25.86,1310718,-1.18422,1.74773,GPC1
57400.35304,None,156.618,-4.11924,645.145,w,45,25.8847,1310745,-0.01471,2.30444,GPC1
57400.36448,None,1.15209,-267.747,308.469,w,45,25.8459,1310785,-0.99118,1.14193,GPC1
57418.25673,25.2788,2.94511,74.839,220.409,w,45,25.8311,1327663,0.28085,0.82714,GPC1
57418.26969,None,2.12268,-97.4405,206.834,w,45,25.833,1327677,-0.36503,0.77484,GPC1
57418.28247,None,2.39076,-74.4372,177.961,w,45,25.8112,1327707,-0.28451,0.68019,GPC1
57418.29536,None,0.292799,-757.698,221.853,w,45,25.8534,1327747,-2.78563,0.81563,GPC1
57673.57489,None,72.1892,-3.61726,261.128,w,45,25.8821,1445564,-0.01295,0.93498,GPC1
57673.57553,None,599.924,-0.663493,398.046,w,45,25.8916,1445565,-0.00235,1.4128,GPC1
57673.58654,24.6653,1.99887,138.654,277.152,w,45,25.8871,1445581,0.49417,0.98779,GPC1
57673.58718,None,1.49665,-215.078,321.898,w,45,25.8827,1445582,-0.76967,1.15193,GPC1
57673.59813,None,0.675521,-489.163,330.44,w,45,25.8932,1445604,-1.73365,1.17112,GPC1
57673.59878,None,1.83624,-225.465,414.009,w,45,25.8957,1445605,-0.79724,1.46392,GPC1
57673.60974,24.3032,2.72307,199.872,544.266,w,45,25.9221,1445635,0.68976,1.87827,GPC1
57673.61039,None,1.63621,-306.891,502.139,w,45,25.9145,1445636,-1.06653,1.74506,GPC1
57689.43099,None,28.3995,-13.9489,396.142,w,45,25.8089,1454483,-0.05343,1.51732,GPC1
57689.43839,None,2.40828,-203.266,489.522,w,45,25.8179,1454491,-0.77213,1.85952,GPC1
57689.44584,None,52.3227,-14.821,775.475,w,45,25.8001,1454518,-0.05723,2.99444,GPC1
57689.45335,None,3.45128,-150.994,521.122,w,45,25.7798,1454531,-0.59406,2.05025,GPC1
57721.46006,None,33.4908,-35.0984,1175.48,w,45,25.9229,1466414,-0.12104,4.05362,GPC1
57721.46071,None,24.7036,-33.4103,825.354,w,45,25.9157,1466413,-0.11598,2.86515,GPC1
57721.47123,None,3.81119,-252.477,962.237,w,45,25.9177,1466442,-0.87484,3.33418,GPC1
57721.47187,None,1.05348,-1028.18,1083.16,w,45,25.9286,1466445,-3.52709,3.7157,GPC1
57721.48243,None,4.3582,-230.128,1002.94,w,45,25.9268,1466464,-0.79075,3.44622,GPC1
57721.48307,24.7496,7.60196,133.415,1014.22,w,45,25.9296,1466463,0.45725,3.476,GPC1
57721.49361,None,1.48664,-567.075,843.035,w,45,25.9027,1466491,-1.99227,2.96178,GPC1
57721.49426,None,1.84964,-495.534,916.562,w,45,25.9236,1466493,-1.70774,3.15871,GPC1
57747.36229,None,3.7959,-272.963,1036.14,w,45,25.9555,1470707,-0.91346,3.46742,GPC1
57747.37359,None,4.09543,-308.431,1263.15,w,45,25.9535,1470733,-1.03406,4.23489,GPC1
57747.38487,None,2.52736,-385.778,975.001,w,45,25.9539,1470757,-1.2929,3.26763,GPC1
57747.39605,25.2997,11.8521,81.678,968.057,w,45,25.9469,1470785,0.27551,3.26534,GPC1
58019.49465,None,3.86575,-70.389,272.106,w,45,25.9773,1595078,-0.23087,0.89249,GPC1
58019.50562,26.1526,7.86703,38.6788,304.287,w,45,25.9882,1595100,0.1256,0.98808,GPC1
58019.51662,26.464,32.2817,30.0204,969.109,w,45,26.0245,1595130,0.09428,3.04341,GPC1
58049.47313,27.3736,60.6922,12.8903,782.343,w,45,26.0163,1607659,0.04079,2.47551,GPC1
58070.37597,None,0.786772,-504.819,397.178,w,45,26.004,1619061,-1.61556,1.27108,GPC1
58070.40109,None,1.87334,-197.64,370.246,w,45,26.0044,1619110,-0.63227,1.18445,GPC1
58070.41374,24.2576,2.08174,227.554,473.708,w,45,26.0173,1619138,0.71937,1.49754,GPC1
58075.33137,None,1.46389,-285.825,418.418,w,45,26.0015,1620449,-0.91683,1.34214,GPC1
58075.34303,None,0.618991,-729.353,451.463,w,45,26.01,1620498,-2.32127,1.43684,GPC1
58075.3547,None,2.51664,-193.269,486.388,w,45,26.0145,1620520,-0.61256,1.5416,GPC1
58075.3664,None,0.910506,-459.222,418.124,w,45,26.0125,1620556,-1.45818,1.32768,GPC1
58131.35092,24.4606,5.67231,185.234,1050.7,w,45,25.9969,1647755,0.59669,3.38459,GPC1
58131.36237,None,1.73363,-633.187,1097.71,w,45,25.9982,1647772,-2.03723,3.53179,GPC1
58131.37384,24.7843,8.02977,136.719,1097.82,w,45,25.9908,1647800,0.44289,3.5563,GPC1
58131.38537,None,18.2075,-67.7015,1232.67,w,45,25.9653,1647828,-0.22453,4.08803,GPC1
58485.36416,23.9285,1.00483,285.124,286.5,w,45,25.9331,1718990,0.97405,0.97875,GPC1
