x L L_unc
2.4402585373474572 2.354062955367848e+47 3.9454185571633416e+45
2.4416094836437643 2.4157713904440134e+47 3.949680665760664e+45
2.442960429940071 2.4261034787217743e+47 3.958117926283544e+45
2.444311376236378 2.4764276350116677e+47 4.501851836417135e+45
2.468628409556632 2.5281550798416057e+47 6.00242740229626e+45
2.4699793558529386 2.417220556634339e+47 3.966389156220678e+45
2.4713303021492457 2.3854208811280904e+47 3.9247913507418095e+45
2.4726812484455523 2.38283785905865e+47 3.922665715839122e+45
2.474032194738542 2.426941573528973e+47 4.619604472138872e+45
2.4915944965838963 2.8462658195815964e+47 5.839184849441643e+45
2.4929454428802034 2.6178928673777145e+47 4.111591771558955e+45
2.4942963891731926 2.3834836145760102e+47 3.9231973093169297e+45
2.4956473354694997 2.3298859066351245e+47 3.878835858227533e+45
2.4969982817658063 2.3499043276732865e+47 3.895463550420299e+45
2.4983492280621133 2.3616201552517966e+47 3.936033641353564e+45
2.49970017435842 2.4170629014787336e+47 3.950736216294679e+45
2.5010511206514097 2.3963987249232116e+47 3.93381193534043e+45
2.5024020669477163 2.5499792830320727e+47 4.5127078718976564e+45
2.522624044310711 2.1548506220614705e+47 3.565269097986431e+45
2.523974990607018 2.0772714356314174e+47 3.4592376179707703e+45
2.5253259369033247 1.9776130999785516e+47 3.3752382080765576e+45
2.526676883199632 2.0329148353697374e+47 3.422105251315655e+45
2.528027829495939 1.96101706628943e+47 3.387615810127831e+45
2.529378775788928 2.050196627679483e+47 3.436620135573204e+45
2.530729722085235 2.149278903588691e+47 3.5186831141696894e+45
2.5320806683815418 2.0640220615272797e+47 3.448187961259053e+45
2.533431614677849 2.0121766845980426e+47 3.4046057313470585e+45
2.5347825609741554 2.057575705470073e+47 6.940030449967202e+45
2.587469466503584 1.166520980907826e+47 2.5922688464618353e+45
2.588820412799891 1.11121924551664e+47 2.5300764833517047e+45
2.590171359096198 1.1308052768010186e+47 2.5522762222294136e+45
2.591522305389187 1.2448651060453394e+47 2.6779034112909547e+45
2.592873251685494 1.2421884534473651e+47 2.9189607601915596e+45
2.644209210921933 1.1659449211641679e+47 2.5916287165968466e+45
2.64556015721824 1.1679726627130115e+47 2.6248233945974015e+45
2.646911103511229 1.232438614158033e+47 2.6855678292212945e+45
2.648262049807536 1.2264311942482775e+47 2.6580022506445482e+45
2.649612996103843 1.2615708386114268e+47 2.6958118848052915e+45
2.65096394240015 1.326647025219469e+47 2.808701522375514e+45
2.652314888696457 1.3626915446780032e+47 4.39577903460688e+45
2.673930029427414 1.2702085000558248e+47 3.2170065877763426e+45
2.675280975720404 1.3318501273377252e+47 2.7698830189356204e+45
2.6766319220167105 1.176820931937226e+47 2.634747275374228e+45
2.6779828683130176 1.2604187191241102e+47 2.69458062918101e+45
2.679333814609324 1.2343660796821628e+47 2.7831831287703552e+45
2.6806847609056312 1.3578489018182907e+47 6.14669309413345e+45
2.7050017942258853 1.2809933060574567e+47 3.343365102684325e+45
2.706352740522192 1.34625162092918e+47 2.7848185034546144e+45
2.707703686818499 1.3220571116955361e+47 2.7596809354780263e+45
2.7090546331148055 1.3917603406781767e+47 2.8314963425008676e+45
2.7104055794077953 1.3816484950948562e+47 4.447683831761139e+45
2.730669773842446 1.6500090770047452e+47 6.775774840656023e+45
2.7320207201387525 1.5991418483951236e+47 3.035129717355063e+45
2.7333716664350596 1.6573238825046003e+47 3.089850382717344e+45
2.7347226127313666 1.6663094862844011e+47 3.110389036236505e+45
2.7360735590276732 1.6890071684058004e+47 3.1192451549076057e+45
2.737424505320663 1.6763338540453203e+47 3.1075206479331413e+45
2.7387754516169696 1.6325533135272982e+47 3.066672759219244e+45
2.757688699758631 1.6158640357927557e+47 5.834547049320033e+45
2.75903964605162 1.5063962296661556e+47 2.9458007264050406e+45
2.7603905923479273 1.398673057602075e+47 2.8385193120701012e+45
2.761741538644234 1.4603114501735006e+47 2.900390841125003e+45
2.763092484940541 1.4050737057938785e+47 2.8674974394872696e+45
2.764443431236848 1.4482141955566789e+47 2.888352312325249e+45
2.7657943775298373 1.4689523463283735e+47 2.9089590881438074e+45
2.7671453238261443 1.455126912480577e+47 2.8952374990502164e+45
2.768496270122451 1.4313389922896375e+47 3.939630799341385e+45
