Results from heasarc_swiftxrlog: Swift XRT Instrument Log
Coordinate system:  Equatorial
|target_id|obsid      |ra         |dec        |start_time           |exposure  |window_size|operation_mode|pointing_mode|flipflop|
|    15367|00015367002|03 20 02.97|+08 45 33.5|2022-10-07 04:01:56.5|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367002|03 20 02.97|+08 45 33.5|2022-10-07 04:02:42.6|  186.6473|200        |WINDOWED      |slewing      |N       |
|    15367|00015367002|03 20 02.97|+08 45 33.5|2022-10-07 04:05:49.2|  11.74219|200        |WINDOWED      |settling     |N       |
|    15367|00015367002|03 20 02.97|+08 45 33.5|2022-10-07 04:06:03.8| 312.15894|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 02:14:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 02:15:38.2|  112.9921|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 02:17:31.2|  10.67473|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 02:17:44.6|  307.1654|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 03:49:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 03:50:38.2|  23.32429|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 03:51:56.8|   30.9568|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 03:52:27.8|  10.67475|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 03:52:40.6| 372.09472|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 08:35:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 08:36:38.2| 112.99208|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 08:38:31.2|  11.74221|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 08:38:45.4| 247.23064|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 10:11:56.5|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 10:12:38.2| 107.65476|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 10:14:25.8|  11.74219|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 10:14:39.8| 432.02916|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 13:09:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 13:10:38.2| 122.59957|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 13:12:40.8|  11.74223|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 13:12:54.4| 417.04619|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 15:11:04.4|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|  2022-10-08 15:11:46| 106.58706|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 15:13:32.6|  13.87711|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 15:13:48.4| 184.79823|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 19:34:56.5|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 19:35:38.2|  25.45927|200        |WINDOWED      |slewing      |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|2022-10-08 19:36:03.6|  10.67477|200        |WINDOWED      |settling     |N       |
|    15367|00015367003|03 20 25.26|+08 42 30.7|  2022-10-08 19:36:17| 514.44023|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 05:04:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 05:05:38.2|  63.88842|200        |WINDOWED      |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 05:06:42.7|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|  2022-10-09 05:06:56| 534.41864|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 06:46:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 06:47:38.2|  60.68594|200        |WINDOWED      |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 06:48:38.9|  11.74221|200        |WINDOWED      |settling     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 06:48:52.6| 299.67356|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 13:18:56.4|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|  2022-10-09 13:19:38| 178.10799|200        |WINDOWED      |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 13:22:36.9|  12.80969|200        |WINDOWED      |settling     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|  2022-10-09 13:22:51| 242.23593|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 17:42:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 17:43:38.2|  145.0167|200        |WINDOWED      |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 17:46:03.2|  10.67477|200        |WINDOWED      |settling     |N       |
