x x- x+ L L- L+
5.335162308268491 0.018325628717740888 0.018325628717740888 7.598239996758909e+46 3.5950218887594046e+45 3.5950218887594046e+45
5.925546682598955 0.15428460005657083 0.15428460005657083 6.187544234460596e+46 2.918977808750679e+45 2.918977808750679e+45
6.804541416532479 0.18085118060041125 0.18085118060041125 3.180822723422167e+46 1.573801404654259e+45 1.573801404654259e+45
7.125920711595846 0.01777990446276667 0.01777990446276667 3.732872906424242e+46 2.5400421793159872e+45 2.5400421793159872e+45
7.683360611881998 0.12525970359393912 0.12525970359393912 3.6121555260430524e+46 2.4163589923849777e+45 2.4163589923849777e+45
8.15252539464683 0.1405365789818087 0.1405365789818087 3.3298764511652213e+46 2.418728413922062e+45 2.418728413922062e+45
9.947593505532382 0.0017597711412541024 0.0017597711412541024 1.710744641336515e+46 3.69273780691853e+45 3.69273780691853e+45
10.950339216280657 0.17939937244322857 0.17939937244322857 1.4429663988298708e+46 1.6053422497498788e+45 1.6053422497498788e+45
12.385809268530721 0.14025120740825167 0.14025120740825167 8.948127808161229e+45 1.2807596208318175e+45 1.2807596208318175e+45
13.761762844001296 0.09153203114775561 0.09153203114775561 7.477848416125907e+45 1.5372964002375667e+45 1.5372964002375667e+45
15.186482546406769 0.06258189056490641 0.06258189056490641 3.6671745298344e+45 7.902166578694755e+44 7.902166578694755e+44
16.40964297709016 0.22783205310063287 0.22783205310063287 5.393806881628072e+45 4.687352996070596e+44 4.687352996070596e+44
18.397040830779115 0.001210669520540718 0.001210669520540718 7.634252872082284e+45 2.5057786771668274e+45 3.1815165054122555e+45
20.24907839339103 0.016637827129534665 0.016637827129534665 5.962663530377195e+45 1.8577420582478486e+45 2.3249299805245676e+45
21.511198431827882 0.15402051116430457 0.15402051116430457 5.147361663685666e+45 1.1411225346527029e+45 1.1411225346527029e+45
22.2409530582965 0.010351071891451452 0.04896858944319891 5.895878011469714e+45 2.211210778734453e+45 2.9130523686989e+45
22.700234238780947 0.17041703078891052 1.0107108299454144 1.058893078839808e+46 2.0379563027489005e+45 2.0379563027489005e+45
25.068847629640587 0.08182924460993549 0.22143692663939452 4.4090857164078184e+45 1.1842289278618886e+45 1.1842289278618886e+45
26.223054087454514 0.003745725521486379 0.0035050565497675963 3.0736709586613136e+45 9.408122757892165e+44 1.1637659600988634e+45
27.79084314036526 0.029530535607989152 0.18508497768827767 1.3292605719767873e+45 4.020101393897703e+44 4.972784440722471e+44
32.36232832901254 0.41935338749783657 0.18317644941761543 3.364227061878633e+45 9.11294475656292e+44 1.0973065838866748e+45
34.12801973751687 0.07545024507010145 0.14144063118743966 3.2362755552992595e+45 6.918769189293454e+44 6.918769189293454e+44
37.82228140950946 0.4952834506967924 1.01620891223493 1.5311206088003382e+45 4.908601890329461e+44 6.143026270973999e+44
40.49975671674602 0.03495390423479448 0.18087253188444366 1.5456056656047712e+45 4.456573601809476e+44 5.459080003809754e+44
47.32015704644009 0.08282643295295748 0.07235283128791611 1.1541459509026338e+45 3.710197243950367e+44 4.6432431396369915e+44
53.65753240529075 0.8867999617935484 0.9341518537516199 6.1357043503173565e+44 2.857543636443961e+44 3.870847385046289e+44
63.61961771859352 7.069679366617258 6.003343286007979 3.146513266361158e+44 1.1037697649965153e+44 1.351696857372521e+44
