Start Date,dt_rest,t_exp,Filter,fnu,e_fnu,Instrument,Flare?
(UT),(days),(sec.),,(uJy),(uJy),,
2022-10-04 09:53:38,26.93907,30.0,r_ZTF,20.11,2.64,ZTF,*  
2022-10-04 10:11:23,26.95141,30.0,g_ZTF,1.12,2.33,ZTF,  
2022-10-05 08:10:04,27.86715,30.0,i_ZTF,58.63,5.80,ZTF,*  
2022-10-06 08:23:53,28.87675,30.0,i_ZTF,-2.64,6.54,ZTF,  
2022-10-06 08:45:37,28.89185,30.0,r_ZTF,10.87,4.40,ZTF,  
2022-10-06 10:37:56,28.96984,30.0,g_ZTF,2.93,2.20,ZTF,  
2022-10-07 09:22:51,29.91771,30.0,i_ZTF,10.68,6.44,ZTF,  
2022-10-08 10:06:30,30.94801,30.0,r_ZTF,-0.02,5.39,ZTF,  
2022-10-08 11:24:23,31.00209,30.0,g_ZTF,1.83,5.72,ZTF,  
2022-10-10 08:46:38,32.89255,30.0,i_ZTF,-5.43,10.22,ZTF,  
2022-10-10 10:47:58,32.97681,30.0,r_ZTF,2.51,7.85,ZTF,  
2022-10-14 09:05:02,36.90534,30.0,r_ZTF,-5.36,4.97,ZTF,  
2022-10-14 11:00:30,36.98551,30.0,g_ZTF,-3.66,5.77,ZTF,  
2022-10-16 12:00:53,39.02745,45,i,-0.03,5.29,PS1 GPC2,  
2022-10-16 12:18:45,39.03986,45,i,1.51,5.46,PS1 GPC2,  
2022-10-16 12:36:33,39.05222,45,i,2.25,5.47,PS1 GPC2,  
2022-10-16 12:54:19,39.06455,45,i,12.36,5.44,PS1 GPC2,  
2022-10-19 08:58:52,41.90105,30.0,g_ZTF,-6.98,3.64,ZTF,  
2022-10-19 10:32:23,41.96599,10.0,i,6.04,0.50,KeckI/LRIS,*  
2022-10-19 10:32:26,41.96602,10.0,g,3.33,0.31,KeckI/LRIS,*  
2022-10-19 10:35:11,41.96794,300.0,i,5.94,0.14,KeckI/LRIS,*  
2022-10-19 10:35:25,41.96810,300.0,g,3.19,0.07,KeckI/LRIS,*  
